School,Level,Year_Built,Square_Feet,Capacity,Enrollment_2016,Enrollment_2017,Enrollment_2018,Enrollment_2019,Enrollment_2020,Enrollment_2021,Enrollment_2022,Enrollment_2023,Enrollment_2024,Enrollment_2025
Bayview Elementary,Elementary,1956,"44,000",665,387,387,372,366,369,355,341,333,336,363
Fairview Elementary,Elementary,1931,"32,960",530,279,279,308,296,289,302,302,302,300,291
Harmony Elementary,Elementary,1960,"51,405",863,506,506,495,511,531,465,469,472,476,481
Leonardo Elementary,Elementary,1931,"32,255",366,233,233,251,274,285,267,259,275,267,283
Lincroft Elementary,Elementary,1956,"39,560",485,456,456,442,451,456,449,452,481,492,485
Middletown Village,Middle,1940,"35,640",611,391,391,382,384,393,408,425,454,437,426
Navesink Elementary,Elementary,1941,"29,113",326,282,282,273,233,236,206,193,208,205,209
New Monmouth Elementary,Elementary,1968,"60,840",699,412,412,380,368,359,467,486,498,510,508
Nut Swamp Elementary,Elementary,1964,"47,820",822,565,565,579,571,557,514,519,510,502,464
Ocean Avenue Elementary,Elementary,1931,"31,540",454,313,313,298,301,282,297,292,295,278,281
River Plaza Elementary,Elementary,1928,"32,040",403,314,314,281,285,272,248,259,254,262,266
Bayshore Middle School,Middle,1931,"144,069",792,672,672,655,623,624,639,613,560,541,533
Thompson Middle School,Middle,1960,"129,069",930,1032,1032,1062,1003,978,939,917,878,858,860
Thorne Middle School,Middle,1960,"129,069",930,748,748,710,679,679,636,622,623,624,860
Middletown High School North,High,1952,"255,800","1,849",1390,1390,1367,1440,1334,1331,1305,1230,1216,1186
Middletown High School South,High,1974,"237,156","1,793",1418,1418,1429,1557,1540,1495,1496,1441,1378,1354
