GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31
A. K-6,,,1. State average - Operating Type K-6,11852,,12212,,12340,
A. K-6,,,2. State median - Operating Type K-6,12209,,12702,,12792,
A. K-6,,,5. State average - All operating types,13198,,13599,,13609,
A. K-6,,,6. State median - All operating types,12503,,12935,,13019,
A. K-6,BERGEN,1270,EDGEWATER BORO,12469,34,11524,19,10660,9
A. K-6,BERGEN,3870,ORADELL BORO,11175,15,11413,16,11339,14
A. K-6,BERGEN,4410,RIVER EDGE BORO,10908,12,10974,9,11635,19
A. K-6,BERGEN,4620,SADDLE RIVER BORO,18490,56,19441,55,20793,56
A. K-6,BURLINGTON,200,BASS RIVER TWP,16753,52,14026,40,14146,41
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,11321,18,11387,14,11540,16
A. K-6,BURLINGTON,2960,MANSFIELD TWP,10687,10,11886,23,11446,15
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,15789,49,15851,49,16343,50
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,12220,32,12886,34,13237,36
A. K-6,CAMDEN,810,CHESILHURST,17636,54,,,,
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,11058,13,12073,25,11807,20
A. K-6,CAMDEN,5560,WATERFORD TWP,12779,36,13745,39,11940,21
A. K-6,CAPE MAY,710,CAPE MAY CITY,14810,46,15846,48,17469,53
A. K-6,CAPE MAY,2840,LOWER TWP,11873,26,12116,26,12208,26
A. K-6,CAPE MAY,4700,SEA ISLE CITY,,,,,33881,60
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,21260,59,21992,58,30120,59
A. K-6,ESSEX,1400,ESSEX FELLS BORO,14690,45,14984,45,15658,47
A. K-6,ESSEX,1465,FAIRFIELD TWP,11368,20,11870,22,12693,29
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,14623,44,14139,41,14839,44
A. K-6,ESSEX,4530,ROSELAND BORO,12217,31,12732,31,12514,28
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,9381,2,9933,4,9953,4
A. K-6,GLOUCESTER,1330,ELK TWP,10843,11,11187,12,10954,11
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,9847,6,10606,7,10653,8
A. K-6,GLOUCESTER,2070,HARRISON TWP,9446,3,9602,3,9809,3
A. K-6,GLOUCESTER,2990,MANTUA TWP,10316,7,11176,11,10688,10
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,11761,24,11388,15,12086,25
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,9750,4,9419,1,8852,1
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,9054,1,9556,2,9151,2
A. K-6,GLOUCESTER,5590,WENONAH BORO,9786,5,10174,5,10107,5
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,12524,35,12157,27,13104,33
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,11363,19,11615,20,10350,7
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,16835,53,18004,53,17069,52
A. K-6,HUNTERDON,2590,LEBANON BORO,19984,58,20025,57,20904,57
A. K-6,HUNTERDON,5050,STOCKTON BORO,15900,50,14726,44,15671,48
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,12200,30,12919,35,13060,32
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,14614,43,14563,42,14091,40
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,19240,57,18158,54,18926,55
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,13325,39,16842,52,16682,51
A. K-6,MORRIS,3240,MINE HILL TWP,11236,17,10817,8,11584,18
A. K-6,OCEAN,230,BEACH HAVEN BORO,18183,55,19678,56,17889,54
A. K-6,OCEAN,320,BERKELEY TWP,11844,25,12059,24,12867,31
A. K-6,OCEAN,1150,EAGLESWOOD TWP,14972,47,14645,43,13582,38
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,16299,51,16366,51,15346,45
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,11653,23,12351,28,12378,27
A. K-6,OCEAN,2760,LONG BEACH ISLAND,21363,60,24203,59,21352,58
A. K-6,OCEAN,3800,OCEAN GATE BORO,13368,40,15544,47,14426,43
A. K-6,OCEAN,3820,OCEAN TWP,15113,48,15945,50,15806,49
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,14404,41,13729,38,13385,37
A. K-6,OCEAN,5020,STAFFORD TWP,11917,28,12530,29,13173,34
A. K-6,OCEAN,5220,TUCKERTON BORO,13146,38,12702,30,11546,17
A. K-6,SUSSEX,1630,FREDON TWP,11178,16,11444,18,12066,22
A. K-6,SUSSEX,1980,HAMPTON TWP,13065,37,13088,37,12716,30
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,14487,42,15183,46,15591,46
A. K-6,SUSSEX,5040,STILLWATER TWP,12066,29,12851,33,13815,39
A. K-6,WARREN,400,BLAIRSTOWN TWP,10475,8,11751,21,11293,13
A. K-6,WARREN,1620,FRANKLIN TWP,11890,27,13068,36,14344,42
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,11469,21,11163,10,11142,12
A. K-6,WARREN,2470,KNOWLTON TWP,12224,33,12762,32,13230,35
A. K-6,WARREN,2970,MANSFIELD TWP,10612,9,10486,6,10253,6
A. K-6,WARREN,5480,WASHINGTON BORO,11595,22,11442,17,12078,24
A. K-6,WARREN,5530,WASHINGTON TWP,11170,14,11202,13,12066,22
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,12103,,12510,,12667,
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,12267,,12747,,12901,
B. K-8 / 0 - 400,,,5. State average - All operating types,13198,,13599,,13609,
B. K-8 / 0 - 400,,,6. State median - All operating types,12503,,12935,,13019,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,12738,25,11925,14,10924,6
B. K-8 / 0 - 400,ATLANTIC,1540,FOLSOM BORO,8858,1,9379,2,11504,9
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,16133,50,15184,40,15576,45
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,10611,8,11462,10,11881,12
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,22505,66,23900,66,24956,66
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,17871,62,19262,63,19005,61
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,16744,57,16980,54,16431,52
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,15136,45,15702,44,13056,29
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,16270,52,17845,58,14775,41
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,13065,27,12875,22,12037,13
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,15804,48,20096,64,20852,64
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,13186,29,13548,33,13196,31
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,11311,11,11375,9,11876,11
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,14922,43,15381,42,15902,50
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,12016,16,13155,27,12406,20
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,11854,14,13090,26,13288,32
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,31132,68,37130,69,39596,68
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,17754,61,18064,60,20230,63
B. K-8 / 0 - 400,CAPE MAY,4701,SEA ISLE CITY,33666,69,27246,67,,
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,22704,67,29109,68,27049,67
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,16775,58,17343,57,16337,51
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,13591,32,12806,19,12501,21
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,10720,9,10080,3,10218,4
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,14834,41,15710,45,14751,40
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,14548,40,16584,52,17501,57
B. K-8 / 0 - 400,CUMBERLAND,3050,MAURICE RIVER TWP,11447,13,11992,17,12076,14
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,11325,12,10992,7,10836,5
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,9769,2,8997,1,9518,1
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,13330,30,13329,30,14587,38
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,13610,33,12997,23,12531,22
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,13723,35,13957,35,12221,16
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,15038,44,15248,41,14419,36
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,15477,46,17880,59,15730,47
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,15516,47,15946,47,15422,44
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,16604,56,15486,43,15819,49
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,14299,38,13759,34,13003,27
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,16338,54,16313,50,16607,54
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,18333,63,22938,65,21466,65
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,14880,42,14312,37,14793,42
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,10397,5,11056,8,12345,19
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,10009,3,10185,4,11460,8
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,16142,51,17172,55,17090,56
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,18954,64,17248,56,18617,59
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,12358,20,11967,16,12309,17
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,17092,60,18797,61,18641,60
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,13893,37,14611,39,14746,39
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,12213,18,13158,28,12318,18
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,13525,31,13021,24,12187,15
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,20369,65,18805,62,19762,62
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,16095,49,15944,46,17501,57
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,12502,21,13391,32,13529,34
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,13867,36,14519,38,16549,53
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,13147,28,11952,15,12746,24
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,14499,39,16422,51,15583,46
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,10603,7,11755,13,11656,10
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,10393,4,10560,5,10116,3
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,16484,55,16169,49,15782,48
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,11971,15,12584,18,13352,33
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,16299,53,16014,48,15012,43
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,12163,17,12829,20,12623,23
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,10434,6,11537,11,9770,2
B. K-8 / 0 - 400,UNION,1710,GARWOOD BORO,10732,10,10632,6,11333,7
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,16978,59,16717,53,16984,55
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,13622,34,14265,36,14546,37
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,12546,22,12838,21,13003,27
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,12968,26,13275,29,12993,26
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,12220,19,13056,25,13182,30
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,12651,23,13351,31,13909,35
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,12659,24,11655,12,12778,25
C. K-8 / 401 - 750,,,1. State average - Operating Type K-8,12103,,12510,,12667,
C. K-8 / 401 - 750,,,2. State median - Operating Type K-8,12267,,12747,,12901,
C. K-8 / 401 - 750,,,5. State average - All operating types,13198,,13599,,13609,
C. K-8 / 401 - 750,,,6. State median - All operating types,12503,,12935,,13019,
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,14176,56,14742,54,15061,55
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,15247,59,16200,62,18875,63
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,11293,12,10960,9,11237,13
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,13529,51,14013,48,14255,46
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,14106,55,14956,55,16137,59
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,19865,63,19580,63,18255,62
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,12001,24,12604,27,13045,36
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,13474,48,13985,47,14498,49
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,12215,28,12648,28,12474,25
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,11087,11,11618,15,13040,35
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,12184,27,12421,23,12648,27
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,13109,41,13125,37,11976,19
