GROUP,CONAME,DIST,DISTNAME,FARAT0019,RK0019,FARAT0119,RK0119
A. K-6,,,K-6 Average,15.4,,15.3,
A. K-6,BERGEN,1270,EDGEWATER BORO,15.4,24,16.1,22
A. K-6,BERGEN,3870,ORADELL BORO,13.4,34,14.1,35
A. K-6,BERGEN,4410,RIVER EDGE BORO,16.9,16,18.1,13
A. K-6,BERGEN,4620,SADDLE RIVER BORO,6.7,57,6.7,56
A. K-6,BURLINGTON,200,BASS RIVER TWP,14,30,14.3,33
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,10.4,47,11.5,41
A. K-6,BURLINGTON,2960,MANSFIELD TWP,13.1,39,15.3,27
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,14.6,28,16.3,21
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,9,56,10.3,48
A. K-6,CAMDEN,810,CHESILHURST,,,,
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,21.8,5,18.4,12
A. K-6,CAMDEN,5560,WATERFORD TWP,13.3,37,14.9,31
A. K-6,CAPE MAY,710,CAPE MAY CITY,11.8,43,11.2,44
A. K-6,CAPE MAY,2840,LOWER TWP,20.1,9,26.4,1
A. K-6,CAPE MAY,4700,SEA ISLE CITY,13.1,39,15,30
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,4.2,59,4.1,59
A. K-6,ESSEX,1400,ESSEX FELLS BORO,9.5,53,15.3,27
A. K-6,ESSEX,1465,FAIRFIELD TWP,16.8,18,15.4,26
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,17.6,14,17.7,14
A. K-6,ESSEX,4530,ROSELAND BORO,14,30,15.5,25
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,16.5,19,16.6,19
A. K-6,GLOUCESTER,1330,ELK TWP,20.5,7,18.6,9
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,16.4,21,15.7,23
A. K-6,GLOUCESTER,2070,HARRISON TWP,18.4,11,18.5,11
A. K-6,GLOUCESTER,2990,MANTUA TWP,27.8,1,25.9,2
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,14.8,27,8.9,52
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,9.9,50,10.1,51
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,20.7,6,19.5,8
A. K-6,GLOUCESTER,5590,WENONAH BORO,16.9,16,23,3
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,13.4,34,14.2,34
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,20.3,8,17.1,15
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,9.9,50,8.4,53
A. K-6,HUNTERDON,2590,LEBANON BORO,13.2,38,13.2,36
A. K-6,HUNTERDON,5050,STOCKTON BORO,5.6,58,6.1,58
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,12.8,41,12.8,39
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,10.4,47,11.2,44
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,10.5,46,6.2,57
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,4.1,60,4,60
A. K-6,MORRIS,3240,MINE HILL TWP,18.5,10,21.4,5
A. K-6,OCEAN,230,BEACH HAVEN BORO,11.1,44,10.3,48
A. K-6,OCEAN,320,BERKELEY TWP,22.2,4,21.4,5
A. K-6,OCEAN,1150,EAGLESWOOD TWP,9.2,55,7.9,55
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,10.3,49,11.4,42
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,16.5,19,15.6,24
A. K-6,OCEAN,2760,LONG BEACH ISLAND,12.5,42,11.4,42
A. K-6,OCEAN,3800,OCEAN GATE BORO,9.7,52,10.5,47
A. K-6,OCEAN,3820,OCEAN TWP,16,23,17.1,15
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,22.6,3,22.5,4
A. K-6,OCEAN,5020,STAFFORD TWP,16.1,22,16.7,18
A. K-6,OCEAN,5220,TUCKERTON BORO,18.3,12,16.8,17
A. K-6,SUSSEX,1630,FREDON TWP,10.8,45,10.3,48
A. K-6,SUSSEX,1980,HAMPTON TWP,14,30,13.2,36
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,14.9,26,18.6,9
A. K-6,SUSSEX,5040,STILLWATER TWP,13.5,33,13.2,36
A. K-6,WARREN,400,BLAIRSTOWN TWP,14.6,28,11.6,40
A. K-6,WARREN,1620,FRANKLIN TWP,13.4,34,11.2,44
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,9.5,53,8.4,53
