CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
80,6612,2963678,1662227,1510965,147448,3814,558590,283146,648481,392016,84380,0,10000,0,191807,283,Galloway Community CS,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,7410,3584648,1669002,1566556,48519,53927,528155,410640,656767,449083,730724,0,0,0,0,260,chARTer~TECH HIGH SCHOOL,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,7420,4521269,2634277,2360153,232224,41900,394192,193171,1040265,765897,413535,0,39000,0,87407,330,Oceanside CS,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,7520,5954703,3136902,3041494,72107,23301,0,0,1394600,1084871,1373630,622096,49571,0,24780,502,PleasanTech Academy CS,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,6013,3639081,1785276,1525952,169696,89628,0,0,719127,553822,1132956,276217,0,0,356090,353,Bergen Arts and Sciences CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,6430,2260222,1495030,1362556,53667,78807,327889,77626,310905,179336,40073,0,0,0,29234,181,Englewood on the Palisades CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,7890,3932668,2254849,2167150,58472,29227,0,0,607417,488648,1090420,173173,0,0,2863,287,Teaneck Community CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,6026,,,,,,,,,,,,,,,,Riverbank Charter School of Excellence,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6044,,,,,,,,,,,,,,,,Renaissance Regional Leadership CS,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6024,653774,385903,269378,78539,37986,0,0,189544,128885,78327,0,0,0,0,84,Camden's Pride Charter Schhol,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6027,,,,,,,,,,,,,,,,Institute of Excellence Charter School,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6212,4746074,2606492,2085939,409345,111208,0,0,1236016,938802,903566,0,0,0,2139,396,Camden Academy Charter HS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6215,4151725,2709416,2191110,332648,185658,0,0,950185,653557,492124,0,0,0,0,383,Camden's Promise CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6232,1884390,1016318,960285,40323,15710,156949,99632,439802,330375,271321,0,0,0,9676,226,Environment Community CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6240,3165392,1802326,1512142,116489,173695,436755,210274,754216,243979,172095,0,0,0,46696,275,Freedom Academy CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6325,5216220,2778112,2565430,158275,54407,0,0,1599469,1254194,838639,0,0,0,140327,492,D.U.E. Season CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,7109,7670508,4059209,3712535,300887,45787,2033407,711748,1080883,772132,497008,0,0,0,0,756,LEAP Academy University CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6028,,,,,,,,,,,,,,,,Vineland Public Charter School,CUMBERLAND,K. CHARTER,C,,,1,CUMBERLAND
80,6016,2103128,1037241,860573,110231,66437,0,0,424354,343163,599722,194628,0,0,0,192,Adelaide L. Sandford CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6020,2032863,1020183,969393,37243,13547,0,0,664780,546361,347900,0,0,0,50456,222,Pride Academy Charter School,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6022,1167496,547376,503183,39213,4980,0,0,230589,139740,352102,172476,37429,0,0,107,Burch Charter School of Excellence,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6037,,,,,,,,,,,,,,,,Newark Legacy CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6038,,,,,,,,,,,,,,,,Visions Academy CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6320,802050,414814,361422,17768,35624,0,0,225824,132887,159872,0,0,0,3000,76,Discovery CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6410,6249863,3126625,2894919,136206,95500,0,0,1048998,553939,1840456,831217,69984,0,0,501,East Orange Community CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6665,3473165,1963967,1746423,108984,108560,0,0,832636,647234,676562,0,0,0,0,289,Gray CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,7100,5212083,2277609,2052739,190824,34046,0,0,1620853,1289998,1292022,678939,21599,0,79239,430,Lady Liberty Academy CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,7210,5554634,2968057,2591045,245234,131778,0,0,1947343,1604645,639234,0,0,0,7320,477,Marion P. Thomas CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,7280,2108035,1210429,1005155,134374,70900,0,0,674761,389809,222845,0,0,0,25218,208,Greater Newark CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,7290,4722659,2608222,2495898,84144,28180,0,0,384998,285767,1729439,616227,0,0,76718,454,New Horizons Comm. CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,7320,9919068,5841468,4777831,483389,580248,0,0,2600859,1787038,1410741,367627,66000,0,19710,756,North Star Acad. CS of Newark,ESSEX,K. CHARTER,C,,,1,ESSEX
80,7325,10005004,5250788,4030660,574170,645958,0,0,2550256,1875782,2020526,349371,183434,0,88828,737,TEAM Academy Charter School,ESSEX,K. CHARTER,C,,,1,ESSEX
80,7730,5488140,2836310,2415045,403875,17390,678661,488091,938031,581963,1035138,0,0,0,90799,450,Robert Treat Academy CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,7735,2323417,1234098,1070210,163888,0,273426,202660,583580,401961,232312,0,0,0,8872,228,Maria L. Varisco-Rogers CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,8065,2799277,1214377,1080660,115183,18534,170364,107763,829124,635806,543424,61783,41988,0,0,212,University Heights CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6030,,,,,,,,,,,,,,,,The Ethical Community Charter School,HUDSON,K. CHARTER,C,,,1,HUDSON
80,6036,,,,,,,,,,,,,,,,HOLA Hoboken Dual Lang CS,HUDSON,K. CHARTER,C,,,1,HUDSON
80,6235,3509434,1421447,1263282,146962,11203,0,0,1400650,1203419,687337,0,0,0,0,286,Liberty Academy CS,HUDSON,K. CHARTER,C,,,1,HUDSON
80,6420,3772477,2004765,1918560,33865,52340,0,0,486363,373889,828886,214901,0,0,0,272,Elysian CS of Hoboken,HUDSON,K. CHARTER,C,,,1,HUDSON
80,6720,4215935,2532499,2254279,128839,149381,513980,180731,901696,712240,267760,0,0,0,900,266,Hoboken CS,HUDSON,K. CHARTER,C,,,1,HUDSON
80,6910,6586883,3797003,3593886,182685,20432,0,0,1576519,457193,1197328,599899,0,0,53239,578,Jersey City Comm. CS,HUDSON,K. CHARTER,C,,,1,HUDSON
80,6915,5271745,2838046,2665076,148430,24540,111601,0,931719,794338,1389106,0,0,0,625,489,Jersey City Golden Door,HUDSON,K. CHARTER,C,,,1,HUDSON
80,7115,3324302,2088003,1917613,71305,99085,0,0,596446,454043,639853,236342,0,0,290601,323,Learning Community CS,HUDSON,K. CHARTER,C,,,1,HUDSON
80,7820,2407002,1171426,992372,88527,90527,333150,273215,392154,268180,510272,0,0,0,0,207,Schomburg CS,HUDSON,K. CHARTER,C,,,1,HUDSON
80,7830,1899188,1157401,1032233,95424,29744,119518,119518,324925,239122,297344,0,0,0,0,208,Soaring Heights CS,HUDSON,K. CHARTER,C,,,1,HUDSON
80,8060,5274876,2669387,2489541,99714,80132,0,0,642337,524530,1956035,547474,0,0,57711,418,University Academy CS,HUDSON,K. CHARTER,C,,,1,HUDSON
80,6017,1340689,640326,593577,0,46749,0,0,190444,142918,508097,126198,0,0,0,124,Foundation Academy CS,MERCER,K. CHARTER,C,,,1,MERCER
80,6023,2348794,1029638,919186,44462,65990,0,0,498602,339742,820125,222893,0,0,4799,173,Capital Prep Charter School,MERCER,K. CHARTER,C,,,1,MERCER
80,6025,1830418,881099,755338,96736,29025,0,0,592546,331303,356773,0,0,0,16658,141,Paul Robeson Humanities  CS,MERCER,K. CHARTER,C,,,1,MERCER
80,6425,6005385,3230574,2971730,182063,76781,871411,733811,820722,688533,1082677,0,0,0,54551,356,Emily Fisher CS of Adv. Studies,MERCER,K. CHARTER,C,,,1,MERCER
80,6810,1202588,569454,492175,35641,41638,0,0,252472,158208,380662,193146,0,0,26000,90,International CS of Trenton,MERCER,K. CHARTER,C,,,1,MERCER
80,7500,1241066,599834,549420,32137,18277,0,0,456645,313629,184427,0,0,0,1076,116,Pace CS of Hamilton,MERCER,K. CHARTER,C,,,1,MERCER
80,7540,4496783,2285255,2079575,116692,88988,0,0,1383016,555760,610544,104300,217968,0,37141,319,Princeton CS,MERCER,K. CHARTER,C,,,1,MERCER
80,7901,7423812,2924830,2476513,294572,153745,0,0,1634562,1400411,1772686,0,0,0,172335,605,Trenton Community CS,MERCER,K. CHARTER,C,,,1,MERCER
80,8140,3661808,1693108,1320893,258061,114154,113081,96836,532912,424481,1322707,268871,0,0,0,355,Village CS,MERCER,K. CHARTER,C,,,1,MERCER
80,6032,,,,,,,,,,,,,,,,Academy for Urban Leadership CS,MIDDLESEX,K. CHARTER,C,,,1,MIDDLESEX
80,6041,,,,,,,,,,,,,,,,Hatikvah International CS,MIDDLESEX,K. CHARTER,C,,,1,MIDDLESEX
80,6635,2897597,1691574,1630474,37376,23724,216588,169653,750223,469066,220643,36570,0,0,0,262,Greater Brunswick CS,MIDDLESEX,K. CHARTER,C,,,1,MIDDLESEX
80,6010,2866473,1140560,964335,57563,118662,369169,317816,838147,746061,518597,0,0,0,4054,191,Academy Charter High School,MONMOUTH,K. CHARTER,C,,,1,MONMOUTH
80,6740,1889415,1008337,987879,13898,6560,52168,0,360550,271645,468359,176623,0,0,0,135,Hope Academy CS,MONMOUTH,K. CHARTER,C,,,1,MONMOUTH
80,7720,2227453,1513729,1388405,32452,92872,298613,210263,316628,277820,98482,0,0,0,0,161,The Red Bank CS,MONMOUTH,K. CHARTER,C,,,1,MONMOUTH
80,8050,1366845,779005,746385,19229,13391,167616,102406,241638,190032,158396,0,20190,0,0,104,Unity CS,MORRIS,K. CHARTER,C,,,1,MORRIS
80,6021,3417156,1916244,1572293,330068,13883,0,0,746051,471493,754861,0,0,0,311883,353,Community Charter School of Paterson,PASSAIC,K. CHARTER,C,,,1,PASSAIC
80,6230,729307,408898,370037,29477,9384,0,0,202317,188102,116036,30900,2056,0,0,109,Classical Academy CS of Clifton,PASSAIC,K. CHARTER,C,,,1,PASSAIC
80,7503,6315635,2755566,2236578,250403,268585,0,0,1600819,1342270,1959250,673196,0,0,63296,603,Paterson CS for Sci/Tech,PASSAIC,K. CHARTER,C,,,1,PASSAIC
80,6018,3153948,1533218,1310406,148915,73897,0,0,1068009,837127,552721,0,0,0,0,252,Central Jersey College Prep CS,SOMERSET,K. CHARTER,C,,,1,SOMERSET
80,7850,1519858,870196,791740,63455,15001,0,0,399287,368903,250375,105273,0,0,220868,125,Sussex County CS for Technology,SUSSEX,K. CHARTER,C,,,1,SUSSEX
80,6033,,,,,,,,,,,,,,,,The Barack Obama Green Charter High Scho,UNION,K. CHARTER,C,,,1,UNION
80,6217,3475798,1763676,1609617,100950,53109,0,0,1073269,776959,637848,0,0,0,18865,301,Central Jersey Arts CS,UNION,K. CHARTER,C,,,1,UNION
80,7600,2282712,1085457,957148,75692,52617,447634,355093,10594,0,739027,178487,0,0,2729,230,Queen City Academy CS,UNION,K. CHARTER,C,,,1,UNION
80,8010,2031429,1039952,924655,103187,12110,0,0,613750,450657,375779,0,0,0,0,179,Union County TEAMS CS,UNION,K. CHARTER,C,,,1,UNION
80,7727,1123040,652399,606755,33320,12324,0,0,337899,240740,132661,0,0,0,71602,107,Ridge and Valley CS,WARREN,K. CHARTER,C,,,1,WARREN
