CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
1,10,9262877,6200774,5985988,175344,39442,1087551,985380,1031017,851990,901525,478065,0,35517,0,825,ABSECON CITY,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,110,129450165,77592472,71893962,3899103,1799407,19768317,17682771,11582185,8037969,18067898,8971405,400000,1348932,531720,6710,ATLANTIC CITY,ATLANTIC,G. K-12 / 3501 +,3,A,,1,ATLANTIC
1,120,11105850,4836969,4629819,138000,69150,1312161,1270161,1866640,1522040,2768511,1163811,0,29175,0,892,ATLANTIC CO VOCATIONAL,ATLANTIC,J. VOC,8,,,1,ATLANTIC
1,125,20967287,12333426,11824956,198636,309834,4144723,3831413,2460003,2124266,1890069,950302,54340,0,125448,472,ATLANTIC CO SPECIAL SERV,ATLANTIC,I. CSSD,7,,,1,ATLANTIC
1,570,13211013,8194935,7800700,297400,96835,1722690,1541978,1376418,1124406,1732225,876426,0,181914,77008,807,BRIGANTINE CITY,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,590,30507285,18548308,17769803,609525,168980,3739669,3501813,4113061,3364721,3367966,1623613,0,707485,25000,2492,BUENA REGIONAL,ATLANTIC,F. K-12 / 1801 - 3500,3,A,,1,ATLANTIC
1,1300,7425165,4357223,4187485,124250,45488,1241774,1146174,857838,690966,913530,472373,0,39000,0,493,EGG HARBOR CITY,ATLANTIC,C. K-8 / 401 - 750,2,A,,1,ATLANTIC
1,1310,90653082,54280268,52359345,1799158,121765,14356060,13177940,7861618,6180281,12216725,6202758,0,971687,64275,7776,EGG HARBOR TWP,ATLANTIC,G. K-12 / 3501 +,3,CD,,1,ATLANTIC
1,1410,2206699,1173751,1128673,38500,6578,321194,247530,330371,266121,368892,164967,6000,5235,0,202,ESTELL MANOR CITY,ATLANTIC,B. K-8 / 0 - 400,2,DE,,1,ATLANTIC
1,1540,4693769,2530031,2338031,126500,65500,859126,685876,606222,389926,637212,251392,0,59043,75000,408,FOLSOM BORO,ATLANTIC,B. K-8 / 0 - 400,2,CD,,1,ATLANTIC
1,1690,45660119,29996985,28964980,766007,265998,6385894,5632566,4336778,3612526,4799500,2390437,25000,80222,12150,3513,GALLOWAY TWP,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,1790,49606582,26891502,25299276,1566276,25950,5250724,4954626,5933466,4547853,8924115,4684723,0,2579753,300216,3882,GREATER EGG HARBOR REG,ATLANTIC,H. 7-12 / 9-12,5,CD,,1,ATLANTIC
1,1940,34262744,21174555,20351240,576887,246428,4883980,4442390,3502168,2714739,4608374,2188640,0,60948,2796,3336,HAMILTON TWP,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,1960,36779415,23175568,22459900,640768,74900,4820615,4541830,3905254,2829294,3934340,1533356,0,608458,114858,3445,HAMMONTON TOWN,ATLANTIC,G. K-12 / 3501 +,3,B,,1,ATLANTIC
1,2680,12794413,7431113,7207131,201346,22636,1955025,1861555,1596124,1187519,1691309,711859,0,120842,0,957,LINWOOD CITY,ATLANTIC,D. K-8 / 751 +,2,GH,,1,ATLANTIC
1,2910,21178295,12437005,11961321,458684,17000,3158031,2851822,1842365,1417931,2389976,1129950,0,1056299,72500,1581,MAINLAND REGIONAL,ATLANTIC,H. 7-12 / 9-12,5,DE,,1,ATLANTIC
1,3020,9532018,5419421,5142161,276360,900,1482734,1299875,878571,700416,1598884,18077,89313,51585,0,505,MARGATE CITY,ATLANTIC,C. K-8 / 401 - 750,2,DE,,1,ATLANTIC
1,3480,8326868,5333213,5207177,101271,24765,935061,813468,1047960,878269,956522,516540,33978,20134,0,741,MULLICA TWP,ATLANTIC,C. K-8 / 401 - 750,2,B,,1,ATLANTIC
1,3720,12060904,8231261,7949917,187841,93503,1311074,1190698,1276167,918014,1151148,551848,25000,66254,0,1074,NORTHFIELD CITY,ATLANTIC,D. K-8 / 751 +,2,DE,,1,ATLANTIC
1,4180,62407654,37285774,35060055,1841619,384100,10212344,9234964,5324159,4172159,8467734,4276474,0,815795,313232,3735,PLEASANTVILLE CITY,ATLANTIC,G. K-12 / 3501 +,3,A,1,1,ATLANTIC
1,4240,1962559,1195419,1159419,12500,23500,370981,302158,204480,138470,191679,93692,0,0,0,126,PORT REPUBLIC CITY,ATLANTIC,B. K-8 / 0 - 400,2,FG,,1,ATLANTIC
1,4800,13118097,8310066,7901848,321520,86698,1865356,1592825,1378027,1164299,1341781,705171,30000,132243,25096,1175,SOMERS POINT CITY,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,5350,12245997,8220347,7975168,164179,81000,1389560,1233610,1447036,1215436,1165320,174105,0,18672,0,1017,VENTNOR CITY,ATLANTIC,D. K-8 / 751 +,2,B,,1,ATLANTIC
1,5760,2768381,1715575,1679306,19369,16900,297183,263211,402922,334022,343911,163411,0,8790,0,233,WEYMOUTH TWP,ATLANTIC,B. K-8 / 0 - 400,2,B,,1,ATLANTIC
