GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,15033,0.19,0.744,0.061,0.004,0,0.001,11.9,116.3,203.5,0.113
G. K-12 / 3501 +,ATLANTIC,110,ATLANTIC CITY,24142,0.156,0.662,0.045,0.079,0,0.058,9.3,101.4,146.5,0.136
J. VOC,ATLANTIC,120,ATLANTIC CO VOCATIONAL,16771,0.226,0.378,0.089,0.307,0,0,12.1,129.9,129.9,0.160
I. CSSD,ATLANTIC,125,ATLANTIC CO SPECIAL SERV,48327,0.082,0.148,0.009,0.762,0,0,6.4,13.9,66.4,1.000
D. K-8 / 751 +,ATLANTIC,570,BRIGANTINE CITY,20591,0.159,0.805,0.031,0,0,0.005,11.5,73.9,162.6,0.123
F. K-12 / 1801 - 3500,ATLANTIC,590,BUENA REGIONAL,17955,0.464,0.276,0.139,0.117,0,0.004,14,85.7,124.3,0.166
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,22859,0.541,0.233,0.227,0,0,0,8.3,56.6,106.9,0.181
G. K-12 / 3501 +,ATLANTIC,1310,EGG HARBOR TWP,16497,0.365,0.558,0.077,0.001,0,0,12.7,78,208.3,0.108
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,16011,0.436,0.463,0.101,0,0,0,13,72.9,88.1,0.064
B. K-8 / 0 - 400,ATLANTIC,1540,FOLSOM BORO,13793,0.591,0.241,0.159,0.009,0,0,13.3,71.3,99.8,0.118
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,17032,0.368,0.473,0.088,0,0.072,0,10.8,71.4,195.1,0.139
H. 7-12 / 9-12,ATLANTIC,1790,GREATER EGG HARBOR REG,17157,0.453,0.435,0.103,0.009,0,0,13.4,110.4,138,0.164
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,14777,0.481,0.393,0.123,0.002,0.002,0,12.6,110.6,235.4,0.131
G. K-12 / 3501 +,ATLANTIC,1960,HAMMONTON TOWN,13454,0.311,0.374,0.085,0.231,0,0,13.8,95.6,183.1,0.162
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,16218,0.176,0.787,0.037,0,0,0,11.7,82.2,157.5,0.144
H. 7-12 / 9-12,ATLANTIC,2910,MAINLAND REGIONAL,17008,0.286,0.639,0.075,0,0,0,12,82.8,184.9,0.153
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,21890,0.118,0.8,0.021,0.061,0,0,11,69.4,115.2,0.111
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,16145,0.506,0.319,0.154,0.001,0.02,0,11.8,88,140.8,0.105
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,14136,0.302,0.627,0.07,0.001,0,0,13.9,91.7,206.3,0.121
G. K-12 / 3501 +,ATLANTIC,4180,PLEASANTVILLE CITY,20565,0.743,0.107,0.146,0.002,0,0.002,9,56.5,118.9,0.129
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,17412,0.423,0.541,0.031,0.005,0,0,8,0,79.3,0.092
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,15523,0.356,0.503,0.138,0.002,0,0.001,10.1,79.1,156,0.138
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,18256,0.15,0.795,0.055,0,0,0,11.2,95.3,190.6,0.081
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,15115,0.511,0.371,0.118,0,0,0,10,73.7,110.5,0.072
K. CHARTER,ATLANTIC,6612,GALLOWAY COMMUNITY CS,15080,0.541,0.385,0.074,0,0,0,9.1,272,90.7,0.095
K. CHARTER,ATLANTIC,7410,CHARTER~TECH HIGH SCHOOL,16594,0.095,0.839,0.066,0,0,0,10.4,72.5,79.1,0.119
K. CHARTER,ATLANTIC,7420,OCEANSIDE CS,18351,0.081,0.799,0.12,0,0,0,10.5,171,85.5,0.131
K. CHARTER,ATLANTIC,7520,PLEASANTECH ACADEMY CS,14732,0.597,0.288,0.116,0,0,0,10.9,95.5,75,0.102
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,15514,0.111,0.864,0.017,0.008,0,0,14.4,91.2,187.8,0.051
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,28576,0.091,0.839,0.017,0,0.053,0,7.2,50,41.2,0.129
I. CSSD,BERGEN,285,BERGEN CO SPECIAL SERVICE,82983,0.076,0.28,0.008,0.637,0,0,4,5.7,41.3,1.000
J. VOC,BERGEN,290,BERGEN COUNTY VOCATIONAL,33618,0.166,0.447,0.081,0.305,0,0.001,10,61.7,137,0.178
F. K-12 / 1801 - 3500,BERGEN,300,BERGENFIELD BORO,17450,0.214,0.7,0.062,0.024,0,0,12.7,74.6,162.7,0.132
E. K-12 / 0 - 1800,BERGEN,440,BOGOTA BORO,17557,0.303,0.611,0.086,0,0,0,12.1,70.2,142.1,0.153
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,20055,0.113,0.86,0.026,0,0,0.001,13.3,93.8,114.4,0.101
H. 7-12 / 9-12,BERGEN,745,CARLSTADT-EAST RUTHERFORD,25999,0.086,0.79,0.021,0,0.103,0,10.8,127.3,127.3,0.119
F. K-12 / 1801 - 3500,BERGEN,890,CLIFFSIDE PARK BORO,15630,0.16,0.655,0.047,0.138,0,0,13.1,97.3,209.5,0.138
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,15877,0.106,0.87,0.018,0.005,0,0.001,13.5,88.2,162.6,0.092
E. K-12 / 0 - 1800,BERGEN,990,CRESSKILL BORO,15967,0.138,0.815,0.026,0.021,0,0,13.9,95.3,175.2,0.125
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,19528,0.091,0.897,0.012,0,0,0,10.6,61.3,174.2,0.116
F. K-12 / 1801 - 3500,BERGEN,1130,DUMONT BORO,15464,0.257,0.689,0.054,0,0,0,13.4,104.2,175.1,0.087
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,21410,0.155,0.812,0.033,0,0,0,10.8,58.3,176.3,0.118
A. K-6,BERGEN,1270,EDGEWATER BORO,16647,0.109,0.858,0.029,0.005,0,0,13.8,230.8,200,0.083
F. K-12 / 1801 - 3500,BERGEN,1345,ELMWOOD PARK,15751,0.168,0.782,0.046,0,0,0.004,15.2,98,162.3,0.144
E. K-12 / 0 - 1800,BERGEN,1360,EMERSON BORO,16383,0.119,0.846,0.023,0.012,0,0,13.5,89.3,118.5,0.109
F. K-12 / 1801 - 3500,BERGEN,1370,ENGLEWOOD CITY,22435,0.237,0.714,0.047,0.001,0,0.001,10.8,49.9,142,0.120
