GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,e21,E11,E31
A. K-6,,,1. State average - Operating Type K-6,12238,,12035,,12632,,,,
A. K-6,,,2. State median - Operating Type K-6,12717,,12517,,13368,,,,
A. K-6,,,5. State average - All operating types,13599,,13291,,13946,,,,
A. K-6,,,6. State median - All operating types,12935,,12774,,13352,,,,
A. K-6,BERGEN,1270,EDGEWATER BORO,11524,19,12437,30,10206,5,619,593,695
A. K-6,BERGEN,3870,ORADELL BORO,11413,16,11169,17,11464,13,798,787,829
A. K-6,BERGEN,4410,RIVER EDGE BORO,10974,9,11364,18,12216,18,1197,1198,1187
A. K-6,BERGEN,4620,SADDLE RIVER BORO,19441,55,20128,56,21763,56,231,236,232
A. K-6,BURLINGTON,200,BASS RIVER TWP,14026,40,14471,44,14811,44,119,128,135
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,11387,14,10669,10,11325,10,554,488,598
A. K-6,BURLINGTON,2960,MANSFIELD TWP,11886,23,10828,12,11570,14,710,688,709
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,15851,49,15538,52,16499,50,1184,1149,1243
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,12886,34,13067,33,14262,40,289,300,298
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,12073,25,10872,13,13283,29,167,171,160
A. K-6,CAMDEN,5560,WATERFORD TWP,13745,39,12127,22,13422,31,897,922,871
A. K-6,CAPE MAY,710,CAPE MAY CITY,15846,48,19243,55,19732,54,153,176,165
A. K-6,CAPE MAY,2840,LOWER TWP,12116,26,12295,27,13102,27,1848,1885,1830
A. K-6,CAPE MAY,4700,SEA ISLE CITY,27246,60,31141,60,30142,60,47,59,53
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,21992,58,20953,57,25414,59,42,37,38
A. K-6,ESSEX,1400,ESSEX FELLS BORO,14984,45,15072,50,17130,51,241,244,233
A. K-6,ESSEX,1465,FAIRFIELD TWP,11870,22,12597,31,13314,30,694,737,701
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,14139,41,13431,36,15348,45,670,640,670
A. K-6,ESSEX,4530,ROSELAND BORO,12732,31,12139,23,12186,17,506,512,526
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,9933,4,9707,3,9296,3,997,974,1176
A. K-6,GLOUCESTER,1330,ELK TWP,11187,12,10321,9,11415,12,384,387,391
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,10606,7,9950,6,10962,9,1424,1422,1400
A. K-6,GLOUCESTER,2070,HARRISON TWP,9602,3,9818,4,10461,6,1494,1542,1467
A. K-6,GLOUCESTER,2990,MANTUA TWP,11176,11,11004,16,11982,16,1430,1485,1406
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,11388,15,12273,25,12956,26,286,311,287
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,9419,1,8191,1,8915,2,370,360,374
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,9556,2,9034,2,8637,1,1746,1706,1987
A. K-6,GLOUCESTER,5590,WENONAH BORO,10174,5,10236,8,10482,7,250,249,255
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,12157,27,12948,32,13714,34,335,355,333
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,11615,20,12431,29,13154,28,220,235,221
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,18004,53,14087,42,16229,49,182,158,190
A. K-6,HUNTERDON,2590,LEBANON BORO,20025,57,22294,59,23465,58,75,85,86
A. K-6,HUNTERDON,5050,STOCKTON BORO,14726,44,14855,49,13651,33,39,37,44
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,12919,35,13299,35,13975,37,246,254,260
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,14563,42,13519,37,14693,43,311,295,310
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,18158,54,15395,51,17565,52,200,175,197
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,16842,52,18662,54,20576,55,73,83,69
A. K-6,MORRIS,3240,MINE HILL TWP,10817,8,9941,5,10038,4,398,376,418
A. K-6,OCEAN,230,BEACH HAVEN BORO,19678,56,18251,53,19392,53,71,68,74
