GROUP,CONAME,DIST,DISTNAME,PP115,PP215,PP315
A. K-6,,,1. State average - Operating Type K-6,144,99,114
A. K-6,,,2. State median - Operating Type K-6,69,36,51
A. K-6,,,5. State average - All operating types,69,59,50
A. K-6,,,6. State median - All operating types,49,44,45
A. K-6,BERGEN,1270,EDGEWATER BORO,0,0,0
A. K-6,BERGEN,3870,ORADELL BORO,0,0,0
A. K-6,BERGEN,4410,RIVER EDGE BORO,0,0,0
A. K-6,BERGEN,4620,SADDLE RIVER BORO,0,58,0
A. K-6,BURLINGTON,200,BASS RIVER TWP,0,34,0
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,0,0,0
A. K-6,BURLINGTON,2960,MANSFIELD TWP,0,11,12
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,746,570,276
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,122,0,0
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,0,0,0
A. K-6,CAMDEN,5560,WATERFORD TWP,10,11,12
A. K-6,CAPE MAY,710,CAPE MAY CITY,123,160,461
A. K-6,CAPE MAY,2840,LOWER TWP,17,20,0
A. K-6,CAPE MAY,4700,SEA ISLE CITY,0,0,0
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,0,0,0
A. K-6,ESSEX,1400,ESSEX FELLS BORO,14,0,0
A. K-6,ESSEX,1465,FAIRFIELD TWP,144,88,0
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,74,11,0
A. K-6,ESSEX,4530,ROSELAND BORO,17,17,15
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,5,10,0
A. K-6,GLOUCESTER,1330,ELK TWP,16,15,0
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,240,229,0
A. K-6,GLOUCESTER,2070,HARRISON TWP,48,0,95
A. K-6,GLOUCESTER,2990,MANTUA TWP,14,7,0
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,0,23,0
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,17,37,47
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,0,5,4
A. K-6,GLOUCESTER,5590,WENONAH BORO,0,0,0
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,0,0,0
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,85,0,120
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,300,64,37
A. K-6,HUNTERDON,2590,LEBANON BORO,24,0,35
A. K-6,HUNTERDON,5050,STOCKTON BORO,0,0,0
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,38,0,15
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,47,38,81
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,0,0,0
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,0,0,0
A. K-6,MORRIS,3240,MINE HILL TWP,0,0,0
A. K-6,OCEAN,230,BEACH HAVEN BORO,158,145,139
A. K-6,OCEAN,320,BERKELEY TWP,366,392,234
A. K-6,OCEAN,1150,EAGLESWOOD TWP,0,0,0
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,0,27,0
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,44,2,0
A. K-6,OCEAN,2760,LONG BEACH ISLAND,166,172,0
A. K-6,OCEAN,3800,OCEAN GATE BORO,70,163,0
A. K-6,OCEAN,3820,OCEAN TWP,224,86,55
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,0,0,0
A. K-6,OCEAN,5020,STAFFORD TWP,253,74,169
A. K-6,OCEAN,5220,TUCKERTON BORO,0,72,0
A. K-6,SUSSEX,1630,FREDON TWP,115,21,0
A. K-6,SUSSEX,1980,HAMPTON TWP,5,19,0
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,0,0,0
A. K-6,SUSSEX,5040,STILLWATER TWP,12,77,0
A. K-6,WARREN,400,BLAIRSTOWN TWP,69,9,5
A. K-6,WARREN,1620,FRANKLIN TWP,29,0,0
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,0,0,0
A. K-6,WARREN,2470,KNOWLTON TWP,237,0,0
A. K-6,WARREN,2970,MANSFIELD TWP,33,4,0
A. K-6,WARREN,5480,WASHINGTON BORO,0,0,0
A. K-6,WARREN,5530,WASHINGTON TWP,149,44,0
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,86,71,68
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,42,35,51
B. K-8 / 0 - 400,,,5. State average - All operating types,69,59,50
B. K-8 / 0 - 400,,,6. State median - All operating types,49,44,45
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,54,0,0
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,181,165,0
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,0,0,0
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,489,41,0
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,25,129,0
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,18,0,0
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,9,9,21
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,0,0,0
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,17,53,0
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,40,29,46
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,0,0,0
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,173,0,0
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,208,31,69
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,40,42,0
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,0,36,47
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,0,0,0
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,38,151,1056
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,247,76,106
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,40,101,98
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,0,0,45
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,0,0,0
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,0,0,0
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,494,0,0
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,0,0,0
B. K-8 / 0 - 400,CUMBERLAND,3050,MAURICE RIVER TWP,311,930,111
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,0,552,639
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,728,468,0
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,27,79,197
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,7,0,0
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,0,0,0
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,62,0,35
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,0,0,0
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,31,0,0
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,0,0,0
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,473,413,58
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,41,12,31
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,0,0,0
