GROUP,CONAME,DIST,DISTNAME,STRAT0016,RK0016,SALT0016,RKSAL0016,STRAT0116,RK0116,SALT0116,RKSAL0116
A. K-6,,,K-6 Average,12.3,,55905,,12.2,,57200,
A. K-6,BERGEN,1270,EDGEWATER BORO,14.3,4,52910,16,15.1,1,50915,10
A. K-6,BERGEN,3870,ORADELL BORO,13.3,14,50010,8,13.3,10,50410,9
A. K-6,BERGEN,4410,RIVER EDGE BORO,14.2,5,59613,42,13.4,7,58283,37
A. K-6,BERGEN,4620,SADDLE RIVER BORO,9.4,49,60427,44,9.6,48,63145,48
A. K-6,BURLINGTON,200,BASS RIVER TWP,9.5,48,53869,19,10.3,41,55369,21
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,13.6,9,52642,13,13.8,3,54835,18
A. K-6,BURLINGTON,2960,MANSFIELD TWP,13.5,11,53416,17,13.8,3,55956,26
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,10.7,37,61075,47,11.3,33,62430,47
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,11.5,31,59662,43,11.5,31,57898,32
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,13,17,54134,22,12.6,17,58123,34
A. K-6,CAMDEN,5560,WATERFORD TWP,13.1,16,64222,55,12.4,21,56094,29
A. K-6,CAPE MAY,710,CAPE MAY CITY,8.1,55,55400,30,7.2,58,58650,41
A. K-6,CAPE MAY,2840,LOWER TWP,13.2,15,63689,54,13.3,10,64116,52
A. K-6,CAPE MAY,4700,SEA ISLE CITY,6,60,70236,59,6.6,60,66088,57
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,6.8,58,51363,11,8.9,52,50297,8
A. K-6,ESSEX,1400,ESSEX FELLS BORO,9.1,50,56259,33,7.8,57,58558,38
A. K-6,ESSEX,1465,FAIRFIELD TWP,13.4,12,53875,20,12.9,13,55420,22
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,10.7,37,54512,27,10.6,37,54129,17
A. K-6,ESSEX,4530,ROSELAND BORO,13.6,9,63665,53,12.7,15,65410,54
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,13.9,8,55263,29,13.7,5,55937,25
A. K-6,GLOUCESTER,1330,ELK TWP,11.5,31,52723,15,12.5,18,51663,11
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,14.4,2,54500,26,13.4,7,53615,15
A. K-6,GLOUCESTER,2070,HARRISON TWP,12.9,18,49397,6,13.3,10,52515,12
A. K-6,GLOUCESTER,2990,MANTUA TWP,12.9,18,54484,25,12,27,53858,16
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,12.5,20,70064,58,11.8,29,70134,58
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,15,1,48575,5,14.9,2,48729,5
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,14,7,51207,10,13.4,7,53056,14
A. K-6,GLOUCESTER,5590,WENONAH BORO,11.6,29,54065,21,11.2,35,57363,30
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,9.8,45,61309,48,10.2,43,63380,49
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,11,34,55526,31,11.4,32,57466,31
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,12.1,26,60834,46,12.7,15,63524,50
A. K-6,HUNTERDON,2590,LEBANON BORO,7,57,52697,14,7.9,56,54863,19
A. K-6,HUNTERDON,5050,STOCKTON BORO,9,52,41146,1,9.2,50,41973,1
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,10.4,41,61710,51,10.3,41,64074,51
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,10.4,41,60768,45,11.3,33,64530,53
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,10.5,39,55245,28,9.8,45,58270,35
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,6.6,59,47519,3,9.6,48,49676,7
A. K-6,MORRIS,3240,MINE HILL TWP,14.4,2,57350,35,13.7,5,56025,28
A. K-6,OCEAN,230,BEACH HAVEN BORO,7.9,56,49555,7,7.1,59,47439,3
A. K-6,OCEAN,320,BERKELEY TWP,12.2,22,54385,24,12.5,18,55991,27
A. K-6,OCEAN,1150,EAGLESWOOD TWP,10.1,44,52632,12,10.8,36,52950,13
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,9.8,45,50481,9,8.7,54,46131,2
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,12.2,22,57409,37,12.3,24,60750,44
A. K-6,OCEAN,2760,LONG BEACH ISLAND,8.8,53,75437,60,9.1,51,79419,60
A. K-6,OCEAN,3800,OCEAN GATE BORO,8.7,54,47405,2,8.8,53,47953,4
A. K-6,OCEAN,3820,OCEAN TWP,10.5,39,59035,39,10.5,38,58582,40
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,10.8,35,58500,38,12,27,59850,42
A. K-6,OCEAN,5020,STAFFORD TWP,13.4,12,54283,23,12.9,13,55330,20
A. K-6,OCEAN,5220,TUCKERTON BORO,11.1,33,47655,4,12.1,26,48815,6
A. K-6,SUSSEX,1630,FREDON TWP,12,27,53666,18,12.3,24,55787,23
A. K-6,SUSSEX,1980,HAMPTON TWP,10.8,35,65308,57,9.8,45,61905,45
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,9.1,50,56612,34,8.2,55,55820,24
A. K-6,SUSSEX,5040,STILLWATER TWP,9.8,45,62660,52,9.7,47,65955,56
A. K-6,WARREN,400,BLAIRSTOWN TWP,14.2,5,57400,36,12.4,21,58275,36
A. K-6,WARREN,1620,FRANKLIN TWP,12.2,22,59345,40,10.4,39,58575,39
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,11.6,29,55622,32,10.4,39,57908,33
A. K-6,WARREN,2470,KNOWLTON TWP,10.4,41,59513,41,9.9,44,59888,43
A. K-6,WARREN,2970,MANSFIELD TWP,12,27,61548,50,12.5,18,72390,59
A. K-6,WARREN,5480,WASHINGTON BORO,12.2,22,61530,49,12.4,21,62303,46
A. K-6,WARREN,5530,WASHINGTON TWP,12.4,21,64518,56,11.7,30,65595,55
B. K-8 / 0 - 400,,,K-8 Average,12.4,,58809,,12.2,,59255,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,15.7,1,67885,61,16,1,69635,61
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,7.9,62,49265,8,8.1,62,51928,13
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,9.7,45,52003,16,10.2,41,52586,15
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,7.9,62,55460,32,7.4,64,56151,31
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,10.5,34,67112,60,10.8,28,70894,62
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,10.5,34,61668,52,11.9,18,61527,54
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,9,55,53807,22,12.6,12,52307,14
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,13.3,3,57268,40,13.8,4,60699,50
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,10.8,30,56853,38,9.8,49,58212,40
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,13.2,4,56249,37,13.1,8,56249,33
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,7.1,64,56144,35,8.1,62,55818,29
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,10.4,37,49000,6,11,26,46000,3
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,11.8,21,54099,24,12.7,11,54697,24
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,10.6,32,59020,44,10.2,41,60573,49
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,10.5,34,59000,43,10.3,37,60971,51
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,12.6,8,76617,65,13.7,5,76617,64
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,5.3,67,72169,63,5,67,68111,60
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,8.6,60,59915,47,8.6,59,59130,42
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,6.3,66,63335,55,6.8,65,80245,67
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,9.9,41,66866,58,9.3,52,64652,58
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,9,55,64228,56,8.9,56,64493,57
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,12.4,10,59653,46,12,16,60983,52
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,9.6,47,66951,59,10.5,35,67746,59
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,10.6,32,54999,28,10.7,30,55988,30
B. K-8 / 0 - 400,CUMBERLAND,3050,MAURICE RIVER TWP,12.6,8,56163,36,12.1,15,55044,25
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,12.2,14,46675,5,10.3,37,47040,4
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,14.4,2,45948,3,13.3,7,47452,5
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,9.6,47,51119,12,11.4,23,53427,18
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,9.4,49,43600,1,8.8,57,45049,2
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,12.9,7,78213,66,13.1,8,78213,66
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,11.1,28,55435,31,10.6,34,57320,39
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,6.7,65,56880,39,6.1,66,58825,41
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,9.2,52,63225,54,9.2,54,63225,56
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,9.8,44,43725,2,9.9,47,44825,1
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,10.4,37,55102,29,10.7,30,52675,16
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,9.7,45,69485,62,9.4,51,59895,45
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,8.7,59,53060,19,9.3,52,50985,10
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,9.1,53,46243,4,8.8,57,47555,6
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,12.1,16,53190,20,11.9,18,53190,17
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,12.4,10,51022,11,12.2,14,50180,9
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,9,55,59931,48,8.3,61,56562,34
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,11.3,25,60080,49,10.9,27,61114,53
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,12.1,16,52719,17,12,16,56154,32
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,9.3,51,55850,33,10,45,55650,28
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,12.1,16,56025,34,11.8,20,59590,43
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,11.2,27,78607,67,10.7,30,76967,65
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,11.4,23,51293,14,12.3,13,54660,23
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,10.4,37,54391,26,9.5,50,57061,38
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,9.9,41,53976,23,10.3,37,53676,21
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,8.8,58,50727,10,8.4,60,51277,12
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,9.1,53,65959,57,9.9,47,60359,48
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,11.4,23,55132,30,10.2,41,56598,35
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,12.1,16,74800,64,13.5,6,76550,63
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,13.1,5,62487,53,14.1,2,60162,47
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,11.8,21,54209,25,11.8,20,55539,27
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,10.9,29,60895,50,10.2,41,62485,55
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,10.4,37,52988,18,10,45,55515,26
