GROUP,CONAME,DIST,DISTNAME,PP13,RK13,PCT13,SBA3,PP23,RK23,PCT23,SBB3,PP33,RK33,PCT33,SBC3
A. K-6,,,1. State average - Operating Type K-6,7066,,,,7045,,,,7371,,,
A. K-6,,,2. State median - Operating Type K-6,7453,,,,7612,,,,7796,,,
A. K-6,,,5. State average - All operating types,7643,,,,7538,,,,7825,,,
A. K-6,,,6. State median - All operating types,7319,,,,7312,,,,7567,,,
A. K-6,BERGEN,1270,EDGEWATER BORO,6381,13,0.554,0.933,5703,5,0.459,0.953,5797,5,0.568,0.973
A. K-6,BERGEN,3870,ORADELL BORO,6170,10,0.541,0.946,6435,15,0.576,0.943,6383,8,0.557,0.930
A. K-6,BERGEN,4410,RIVER EDGE BORO,6264,11,0.571,0.920,7027,25,0.618,0.962,7458,23,0.611,0.945
A. K-6,BERGEN,4620,SADDLE RIVER BORO,9738,53,0.501,0.941,10482,53,0.521,0.948,10727,53,0.493,0.947
A. K-6,BURLINGTON,200,BASS RIVER TWP,7619,34,0.543,0.965,7860,35,0.543,0.951,7799,31,0.527,0.924
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,6072,7,0.533,0.943,5675,4,0.532,0.963,5981,6,0.528,0.960
A. K-6,BURLINGTON,2960,MANSFIELD TWP,6868,20,0.578,0.948,6122,10,0.565,0.965,6742,13,0.583,0.945
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,8770,45,0.553,0.919,8898,50,0.573,0.936,9658,49,0.585,0.947
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,7282,28,0.565,0.977,8037,38,0.615,0.980,8602,41,0.603,0.962
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,6703,16,0.555,0.905,6038,9,0.555,0.946,7283,17,0.548,0.930
A. K-6,CAMDEN,5560,WATERFORD TWP,7246,27,0.527,0.959,6536,16,0.539,0.972,7351,19,0.548,0.968
A. K-6,CAPE MAY,710,CAPE MAY CITY,8872,46,0.560,0.927,11069,54,0.575,0.943,11528,55,0.584,0.935
A. K-6,CAPE MAY,2840,LOWER TWP,6984,23,0.576,0.963,7425,29,0.604,0.959,7792,30,0.595,0.966
A. K-6,CAPE MAY,4700,SEA ISLE CITY,15180,60,0.557,0.922,15567,60,0.500,0.956,14037,59,0.466,0.929
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,14142,59,0.643,0.953,13220,59,0.631,0.947,14981,60,0.589,0.945
A. K-6,ESSEX,1400,ESSEX FELLS BORO,8733,44,0.583,0.954,8927,51,0.592,0.955,9691,50,0.566,0.934
A. K-6,ESSEX,1465,FAIRFIELD TWP,7171,25,0.604,0.933,7702,32,0.611,0.944,7951,34,0.597,0.947
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,8409,42,0.595,0.962,8223,39,0.612,0.950,9071,46,0.591,0.955
A. K-6,ESSEX,4530,ROSELAND BORO,8110,40,0.637,0.968,7532,30,0.620,0.975,7579,26,0.622,0.988
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,5622,3,0.566,0.911,5738,6,0.591,0.945,5391,3,0.580,0.931
A. K-6,GLOUCESTER,1330,ELK TWP,6828,19,0.610,0.956,6375,13,0.618,0.975,6919,14,0.606,0.968
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,5678,4,0.535,0.891,5773,7,0.580,0.930,6264,7,0.571,0.939
A. K-6,GLOUCESTER,2070,HARRISON TWP,5987,6,0.624,0.954,6009,8,0.612,0.947,6488,12,0.620,0.944
A. K-6,GLOUCESTER,2990,MANTUA TWP,6959,22,0.623,0.965,6717,18,0.610,0.966,7421,21,0.619,0.971
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,6705,17,0.589,0.960,7363,27,0.600,0.954,7530,25,0.581,0.953
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,5116,1,0.543,0.896,4535,1,0.554,0.943,4656,1,0.522,0.930
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,5851,5,0.612,0.974,5448,2,0.603,0.972,5055,2,0.585,0.961
A. K-6,GLOUCESTER,5590,WENONAH BORO,6163,9,0.606,0.969,6252,12,0.611,0.963,6482,11,0.618,0.963
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,8230,41,0.677,0.962,8626,44,0.666,0.972,8846,44,0.645,0.968
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,7391,30,0.636,0.969,8027,37,0.646,0.977,8223,36,0.625,0.966
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,11347,56,0.630,0.944,8871,48,0.630,0.956,9944,51,0.613,0.956
A. K-6,HUNTERDON,2590,LEBANON BORO,10349,54,0.517,0.930,11331,55,0.508,0.967,11394,54,0.486,0.893
A. K-6,HUNTERDON,5050,STOCKTON BORO,9096,48,0.618,0.947,8879,49,0.598,0.944,8325,37,0.610,0.948
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,7660,35,0.593,0.957,7911,36,0.595,0.963,8362,39,0.598,0.954
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,9539,50,0.655,0.970,8528,42,0.631,0.968,10035,52,0.683,0.957
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,9007,47,0.496,0.936,7762,33,0.504,0.942,8978,45,0.511,0.925
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,10803,55,0.641,0.966,12162,58,0.652,0.974,12668,58,0.616,0.940
A. K-6,MORRIS,3240,MINE HILL TWP,6096,8,0.564,0.945,5582,3,0.561,0.900,5701,4,0.568,0.921
A. K-6,OCEAN,230,BEACH HAVEN BORO,11842,57,0.602,0.961,11616,56,0.636,0.960,12089,56,0.623,0.957
A. K-6,OCEAN,320,BERKELEY TWP,6764,18,0.561,0.947,6806,21,0.560,0.949,7064,16,0.553,0.946
A. K-6,OCEAN,1150,EAGLESWOOD TWP,8648,43,0.591,0.968,8807,47,0.597,0.955,8347,38,0.616,0.941
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,9502,49,0.581,0.938,8603,43,0.583,0.943,7874,33,0.573,0.932
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,7202,26,0.583,0.961,7393,28,0.601,0.979,7655,29,0.611,0.984
A. K-6,OCEAN,2760,LONG BEACH ISLAND,12524,58,0.517,0.936,11941,57,0.552,0.936,12642,57,0.548,0.939
A. K-6,OCEAN,3800,OCEAN GATE BORO,7818,36,0.503,0.942,7136,26,0.509,0.942,7628,28,0.528,0.937
A. K-6,OCEAN,3820,OCEAN TWP,9693,51,0.608,0.931,8370,41,0.564,0.961,8596,40,0.550,0.946
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,7515,31,0.547,0.965,7806,34,0.551,0.977,7587,27,0.529,0.963
A. K-6,OCEAN,5020,STAFFORD TWP,6517,15,0.520,0.925,6694,17,0.545,0.954,6933,15,0.545,0.941
A. K-6,OCEAN,5220,TUCKERTON BORO,7375,29,0.581,0.963,6393,14,0.597,0.972,6458,10,0.568,0.959
A. K-6,SUSSEX,1630,FREDON TWP,5592,2,0.489,0.898,6228,11,0.524,0.923,6457,9,0.540,0.934
A. K-6,SUSSEX,1980,HAMPTON TWP,7818,36,0.597,0.961,8766,46,0.630,0.979,8716,43,0.616,0.966
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,9717,52,0.640,0.959,9034,52,0.616,0.965,9242,47,0.593,0.960
A. K-6,SUSSEX,5040,STILLWATER TWP,7916,38,0.616,0.974,8300,40,0.613,0.977,8606,42,0.609,0.979
A. K-6,WARREN,400,BLAIRSTOWN TWP,7582,33,0.645,0.959,6761,19,0.615,0.954,7485,24,0.609,0.941
A. K-6,WARREN,1620,FRANKLIN TWP,7917,39,0.606,0.940,8718,45,0.628,0.955,9508,48,0.602,0.961
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,6293,12,0.564,0.919,6816,22,0.579,0.942,7441,22,0.590,0.945
A. K-6,WARREN,2470,KNOWLTON TWP,7569,32,0.593,0.967,7692,31,0.587,0.964,8092,35,0.589,0.956
A. K-6,WARREN,2970,MANSFIELD TWP,6906,21,0.659,0.946,6854,23,0.680,0.955,7337,18,0.675,0.972
A. K-6,WARREN,5480,WASHINGTON BORO,7126,24,0.623,0.971,6915,24,0.631,0.969,7824,32,0.622,0.967
A. K-6,WARREN,5530,WASHINGTON TWP,6513,14,0.581,0.967,6770,20,0.572,0.955,7356,20,0.572,0.982
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,7364,,,,7260,,,,7630,,,
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,7396,,,,7365,,,,7647,,,
B. K-8 / 0 - 400,,,5. State average - All operating types,7643,,,,7538,,,,7825,,,
B. K-8 / 0 - 400,,,6. State median - All operating types,7319,,,,7312,,,,7567,,,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,6616,9,0.555,0.974,6055,6,0.533,0.971,6790,9,0.526,0.959
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,8036,34,0.529,0.902,8609,47,0.565,0.950,8552,41,0.579,0.964
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,6960,14,0.607,0.971,7313,20,0.609,0.968,8175,34,0.599,0.970
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,12516,65,0.524,0.919,11786,63,0.531,0.931,12159,64,0.500,0.895
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,10515,58,0.546,0.949,10243,60,0.534,0.948,10388,61,0.547,0.967
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,7936,28,0.467,0.902,8396,43,0.476,0.910,9436,54,0.494,0.926
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,7973,32,0.508,0.944,8004,37,0.565,0.966,7714,25,0.530,0.914
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,7053,17,0.563,0.967,7076,15,0.575,0.973,7091,15,0.531,0.952
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,10670,60,0.598,0.938,7669,30,0.489,0.961,8225,35,0.551,0.958
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,6969,15,0.541,0.938,5989,5,0.523,0.942,6551,8,0.550,0.959
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,11762,64,0.585,0.901,11794,64,0.580,0.929,13036,65,0.503,0.887
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,7971,31,0.588,0.940,8373,41,0.589,0.940,7357,22,0.552,0.933
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,6195,3,0.545,0.918,7093,16,0.649,0.959,7229,20,0.583,0.925
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,9410,51,0.612,0.939,8305,40,0.556,0.922,8814,46,0.578,0.915
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,7651,23,0.582,0.956,7456,25,0.567,0.961,7903,26,0.577,0.963
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,7858,26,0.600,0.944,7882,35,0.627,0.971,8277,37,0.598,0.940
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,21557,67,0.581,0.916,19857,67,0.559,0.912,20588,67,0.524,0.869
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,10083,55,0.558,0.939,10088,59,0.560,0.943,11035,62,0.547,0.939
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,16185,66,0.556,0.946,13685,66,0.553,0.932,15244,66,0.546,0.890
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,10243,57,0.591,0.948,10957,62,0.583,0.966,9524,56,0.532,0.930
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,8195,37,0.640,0.960,9573,56,0.654,0.970,9421,53,0.664,0.974
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,6206,4,0.616,0.956,6496,9,0.639,0.967,6853,10,0.640,0.970
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,8290,39,0.528,0.972,7853,34,0.585,0.984,8920,48,0.545,0.957
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,8989,46,0.542,0.900,7449,24,0.505,0.900,8126,32,0.497,0.893
B. K-8 / 0 - 400,CUMBERLAND,3050,MAURICE RIVER TWP,7335,20,0.612,0.949,6551,10,0.573,0.864,7099,16,0.595,0.954
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,6148,2,0.559,0.925,5554,2,0.547,0.944,6498,7,0.580,0.938
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,5024,1,0.558,0.932,4699,1,0.485,0.925,6085,2,0.560,0.931
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,8050,35,0.604,0.910,7538,26,0.650,0.914,7630,24,0.565,0.913
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,8478,42,0.652,0.955,8777,50,0.649,0.958,8684,45,0.624,0.956
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,8599,43,0.616,0.954,8625,48,0.609,0.971,8139,33,0.595,0.962
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,9501,53,0.623,0.962,7995,36,0.614,0.958,7225,19,0.576,0.934
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,10856,61,0.607,0.973,13131,65,0.650,0.991,11875,63,0.647,0.977
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,8758,44,0.549,0.953,8937,51,0.562,0.959,8942,49,0.573,0.949
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,8012,33,0.517,0.866,7163,17,0.501,0.881,7060,13,0.485,0.865
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,7735,24,0.562,0.944,7204,18,0.533,0.932,7029,12,0.516,0.923
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,10096,56,0.619,0.954,9425,54,0.621,0.961,9340,52,0.595,0.949
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,11300,63,0.493,0.935,10363,61,0.491,0.930,8003,29,0.514,0.921
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,8446,41,0.590,0.974,7761,32,0.560,0.970,8471,39,0.544,0.971
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,6586,8,0.596,0.915,6861,13,0.600,0.942,7274,21,0.557,0.910
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,6306,5,0.619,0.949,6315,8,0.618,0.970,6975,11,0.612,0.942
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,9346,49,0.544,0.951,8742,49,0.534,0.939,9144,50,0.528,0.936
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,7534,21,0.437,0.916,7561,27,0.468,0.940,8579,42,0.454,0.927
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,6710,10,0.561,0.972,6158,7,0.553,0.972,6414,5,0.536,0.958
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,8905,45,0.474,0.893,9215,52,0.484,0.905,9255,51,0.464,0.943
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,7854,25,0.538,0.946,7656,29,0.553,0.955,8275,36,0.537,0.933
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,8438,40,0.641,0.971,8031,38,0.663,0.963,7945,27,0.637,0.963
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,6944,13,0.533,0.945,6686,11,0.526,0.935,6007,1,0.516,0.932
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,11281,62,0.600,0.912,9492,55,0.519,0.916,10197,59,0.510,0.899
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,10627,59,0.667,0.976,9237,53,0.593,0.970,9580,57,0.614,0.978
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,7956,30,0.594,0.904,8397,44,0.617,0.957,8817,47,0.629,0.945
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,9159,47,0.631,0.932,9843,58,0.669,0.956,9956,58,0.604,0.919
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,8106,36,0.678,0.945,8053,39,0.616,0.958,8601,43,0.626,0.956
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,9678,54,0.589,0.930,7671,31,0.565,0.951,8506,40,0.563,0.948
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,6522,7,0.555,0.887,5983,4,0.552,0.923,6315,3,0.557,0.949
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,6828,11,0.647,0.944,7250,19,0.669,0.954,6405,4,0.557,0.876
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,9337,48,0.577,0.939,8475,45,0.562,0.933,9515,55,0.548,0.910
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,6873,12,0.546,0.920,7404,23,0.568,0.946,7974,28,0.571,0.950
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,9419,52,0.588,0.959,8498,46,0.588,0.983,8617,44,0.607,0.989
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,7179,19,0.560,0.969,7317,21,0.555,0.965,7179,18,0.547,0.970
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,7166,18,0.621,0.978,6855,12,0.623,0.979,7090,14,0.620,0.970
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,9353,50,0.559,0.950,9593,57,0.575,0.956,10216,60,0.599,0.961
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,8207,38,0.575,0.908,8383,42,0.602,0.946,8286,38,0.623,0.952
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,7939,29,0.618,0.966,7376,22,0.566,0.932,7117,17,0.554,0.915
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,6394,6,0.482,0.942,5752,3,0.474,0.928,6493,6,0.497,0.931
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,7598,22,0.582,0.966,7824,33,0.600,0.978,7460,23,0.583,0.975
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,7913,27,0.593,0.927,7570,28,0.595,0.948,8114,31,0.580,0.937
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,6972,16,0.598,0.968,6890,14,0.598,0.968,8049,30,0.592,0.975
C. K-8 / 401 - 750,,,1. State average - Operating Type K-8,7364,,,,7260,,,,7630,,,
