GROUP,CONAME,DIST,DISTNAME,PP16,RK16,PCT16,PP26,RK26,PCT26,PP36,RK36,PCT36
A. K-6,,,1. State average - Operating Type K-6,1871,,,1852,,,1971,,
A. K-6,,,2. State median - Operating Type K-6,1888,,,1802,,,1934,,
A. K-6,,,5. State average - All operating types,2116,,,2029,,,2169,,
A. K-6,,,6. State median - All operating types,1872,,,1827,,,1945,,
A. K-6,BERGEN,1270,EDGEWATER BORO,1791,28,0.155,2107,41,0.169,1730,17,0.170
A. K-6,BERGEN,3870,ORADELL BORO,2015,37,0.177,1660,19,0.149,1710,15,0.149
A. K-6,BERGEN,4410,RIVER EDGE BORO,1781,27,0.162,1745,25,0.154,1822,21,0.149
A. K-6,BERGEN,4620,SADDLE RIVER BORO,5431,60,0.279,5395,58,0.268,6561,60,0.301
A. K-6,BURLINGTON,200,BASS RIVER TWP,2432,48,0.173,2327,46,0.161,2657,48,0.179
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,1976,34,0.174,1876,35,0.176,1860,25,0.164
A. K-6,BURLINGTON,2960,MANSFIELD TWP,1756,25,0.148,1846,33,0.170,1806,20,0.156
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,2209,45,0.139,2206,42,0.142,2341,42,0.142
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,2135,42,0.166,1774,28,0.136,1845,23,0.129
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,1562,16,0.129,1576,15,0.145,2246,38,0.169
A. K-6,CAMDEN,5560,WATERFORD TWP,2618,50,0.190,2513,51,0.207,2661,49,0.198
A. K-6,CAPE MAY,710,CAPE MAY CITY,2316,47,0.146,2602,52,0.135,2695,50,0.137
A. K-6,CAPE MAY,2840,LOWER TWP,2013,36,0.166,1896,36,0.154,2097,35,0.160
A. K-6,CAPE MAY,4700,SEA ISLE CITY,4765,58,0.175,6467,60,0.208,6325,58,0.210
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,2924,53,0.133,2770,53,0.132,4505,57,0.177
A. K-6,ESSEX,1400,ESSEX FELLS BORO,2649,51,0.177,2430,49,0.161,2744,52,0.160
A. K-6,ESSEX,1465,FAIRFIELD TWP,1552,15,0.131,1721,24,0.137,1963,33,0.147
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,1918,33,0.136,1764,27,0.131,2252,39,0.147
A. K-6,ESSEX,4530,ROSELAND BORO,1730,24,0.136,1696,22,0.140,1838,22,0.151
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,1446,11,0.146,1356,8,0.140,1356,6,0.146
