GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
A. K-6,,,1. State average - Operating Type K-6,42,,,38,,,40,,
A. K-6,,,2. State median - Operating Type K-6,36,,,31,,,35,,
A. K-6,,,5. State average - All operating types,38,,,37,,,36,,
A. K-6,,,6. State median - All operating types,32,,,31,,,34,,
A. K-6,BERGEN,1270,EDGEWATER BORO,110,52,0.010,95,52,0.008,91,49,0.009
A. K-6,BERGEN,3870,ORADELL BORO,49,36,0.004,84,46,0.008,60,38,0.005
A. K-6,BERGEN,4410,RIVER EDGE BORO,13,12,0.001,17,15,0.002,37,32,0.003
A. K-6,BERGEN,4620,SADDLE RIVER BORO,37,30,0.002,92,50,0.005,22,16,0.001
A. K-6,BURLINGTON,200,BASS RIVER TWP,70,41,0.005,15,12,0.001,76,45,0.005
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,27,21,0.002,22,20,0.002,19,12,0.002
A. K-6,BURLINGTON,2960,MANSFIELD TWP,48,34,0.004,39,34,0.004,65,40,0.006
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,34,28,0.002,16,13,0.001,12,9,0.001
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,86,49,0.007,164,55,0.013,149,58,0.010
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,,,0.000,,,0.000,,,0.000
A. K-6,CAMDEN,5560,WATERFORD TWP,63,39,0.005,41,35,0.003,77,46,0.006
A. K-6,CAPE MAY,710,CAPE MAY CITY,15,15,0.001,29,26,0.002,24,18,0.001
A. K-6,CAPE MAY,2840,LOWER TWP,13,12,0.001,8,9,0.001,17,11,0.001
A. K-6,CAPE MAY,4700,SEA ISLE CITY,838,57,0.031,765,58,0.025,189,59,0.006
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,,,0.000,69,42,0.003,94,51,0.004
A. K-6,ESSEX,1400,ESSEX FELLS BORO,178,55,0.012,74,44,0.005,107,53,0.006
A. K-6,ESSEX,1465,FAIRFIELD TWP,131,53,0.011,85,47,0.007,105,52,0.008
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,85,48,0.006,23,22,0.002,90,48,0.006
A. K-6,ESSEX,4530,ROSELAND BORO,33,26,0.003,55,38,0.004,38,33,0.003
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,20,17,0.002,30,27,0.003,27,24,0.003
A. K-6,GLOUCESTER,1330,ELK TWP,5,4,0.000,9,10,0.001,19,12,0.002
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,41,31,0.004,33,31,0.003,35,29,0.003
