GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV,CO,OTHER01
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,13491,0.166,0.772,0.06,0.003,0,0,12.7,141.8,212.8,0.106,1,4.656613E-10
G. K-12 / 3501 +,ATLANTIC,110,ATLANTIC CITY,25490,0.148,0.713,0.048,0.074,0,0.017,9.7,106.4,152.3,0.140,1,1.1175871E-8
J. VOC,ATLANTIC,120,ATLANTIC CO VOCATIONAL,17691,0.324,0.384,0.038,0.254,0,0,12.6,138.2,138.2,0.131,1,0
I. CSSD,ATLANTIC,125,ATLANTIC CO SPECIAL SERV,50536,0.074,0.214,0.007,0.706,0,0,6.3,13.7,64.4,1.000,1,0
D. K-8 / 751 +,ATLANTIC,570,BRIGANTINE CITY,21131,0.151,0.817,0.03,0,0,0.002,11.6,72.5,159.4,0.109,1,9.313226E-10
F. K-12 / 1801 - 3500,ATLANTIC,590,BUENA REGIONAL,17275,0.513,0.296,0.067,0.123,0,0.001,14.5,91.6,145.5,0.150,1,126224
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,22402,0.629,0.245,0.126,0,0,0,9,57.8,92.4,0.164,1,0
G. K-12 / 3501 +,ATLANTIC,1310,EGG HARBOR TWP,15257,0.395,0.569,0.034,0.003,0,0,13.6,84.4,210.3,0.108,1,7.4505806E-9
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,16670,0.446,0.515,0.039,0,0,0,15.7,87.7,83.9,0.119,1,0
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,15211,0.733,0.228,0.031,0.007,0,0.001,12.8,72.4,132.7,0.111,1,0
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,16130,0.435,0.486,0.038,0.002,0.036,0.003,11.4,80.5,203.6,0.136,1,43923
H. 7-12 / 9-12,ATLANTIC,1790,GREATER EGG HARBOR REG,18256,0.515,0.443,0.033,0.009,0,0,14.3,126.2,128.4,0.165,1,12378
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,14707,0.532,0.413,0.053,0.001,0,0.001,13,112.6,246.8,0.137,1,3.7252903E-9
G. K-12 / 3501 +,ATLANTIC,1960,HAMMONTON TOWN,13046,0.33,0.378,0.045,0.23,0,0.017,14.9,110.9,198.8,0.159,1,-3.72529E-9
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,16533,0.158,0.806,0.019,0,0.017,0,11,74.5,150.2,0.147,1,4.656613E-10
H. 7-12 / 9-12,ATLANTIC,2910,MAINLAND REGIONAL,18749,0.319,0.662,0.019,0,0,0,12.9,76.9,160.3,0.156,1,0
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,21064,0.1,0.818,0.022,0.06,0,0,10.6,70.8,129.3,0.095,1,3832
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,15875,0.566,0.331,0.082,0.002,0,0.019,12.6,100,140,0.097,1,9.313226E-10
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,14091,0.32,0.646,0.034,0,0,0,13.2,102.9,250,0.125,1,0
G. K-12 / 3501 +,ATLANTIC,4180,PLEASANTVILLE CITY,25812,0.84,0.103,0.053,0.001,0,0.003,9.1,63.3,122.1,0.127,1,1038541
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,16283,0.384,0.579,0.034,0.004,0,0,7.9,0,78,0.094,1,0
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,15663,0.398,0.512,0.088,0.002,0,0,10.5,70.9,150.9,0.135,1,-9.31323E-10
