GROUP,CONAME,DIST,DISTNAME,SSRAT0017,RK0017,SALS0017,RKSAL0017,SSRAT0117,RK0117,SALS0117,RKSAL0117
A. K-6,,,K-6 Average,86.1,,62683,,81.7,,61298,
A. K-6,BERGEN,1270,EDGEWATER BORO,112.7,15,57889,28,129.7,9,58587,23
A. K-6,BERGEN,3870,ORADELL BORO,106.2,19,57522,25,121.7,10,62205,33
A. K-6,BERGEN,4410,RIVER EDGE BORO,77.5,41,73825,55,69.7,37,72595,47
A. K-6,BERGEN,4620,SADDLE RIVER BORO,76.7,42,64266,42,206,1,59786,25
A. K-6,BURLINGTON,200,BASS RIVER TWP,73.3,47,61904,33,64,42,61904,32
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,89.1,30,72497,54,103.9,12,77658,51
A. K-6,BURLINGTON,2960,MANSFIELD TWP,97.4,21,64224,41,94.6,14,67158,40
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,60,51,65864,47,57.8,48,65490,39
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,59.8,53,52240,20,71.4,34,54634,19
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,85.2,36,13467,4,77.1,25,11804,3
A. K-6,CAMDEN,5560,WATERFORD TWP,64.6,49,62605,35,65.3,40,61196,29
A. K-6,CAPE MAY,710,CAPE MAY CITY,149,5,69460,51,,,,
A. K-6,CAPE MAY,2840,LOWER TWP,87.7,33,81051,58,85.9,18,85002,53
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,280,2,8134,3,198,2,7868,2
A. K-6,ESSEX,1400,ESSEX FELLS BORO,53.7,55,45305,16,55,49,45306,14
A. K-6,ESSEX,1465,FAIRFIELD TWP,77.8,39,77208,56,86.5,17,72182,45
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,84.4,37,52751,21,71.9,33,51896,16
A. K-6,ESSEX,4530,ROSELAND BORO,71.3,48,62410,34,64,42,0,1
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,125.7,10,57590,26,132,8,75322,50
A. K-6,GLOUCESTER,1330,ELK TWP,93.8,25,63360,39,74,29,43890,13
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,92,28,61815,32,87.7,16,60474,28
A. K-6,GLOUCESTER,2070,HARRISON TWP,96.4,23,64978,44,99.8,13,72365,46
A. K-6,GLOUCESTER,2990,MANTUA TWP,87.8,32,65604,45,72.1,32,59976,26
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,118.6,12,41398,13,62.4,45,52600,17
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,135.6,8,41084,12,79.6,23,33164,10
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,127.4,9,63258,38,79,24,54271,18
A. K-6,GLOUCESTER,5590,WENONAH BORO,204.2,3,28679,7,189.2,3,28851,7
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,93.2,26,61730,31,72.3,30,63860,35
