GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
A. K-6,,,K-6 Average,162.3,,102837,,162.6,,103936,
A. K-6,BERGEN,1270,EDGEWATER BORO,169,24,104093,36,259.3,5,120000,48
A. K-6,BERGEN,3870,ORADELL BORO,170.9,23,110810,48,130.2,36,91250,17
A. K-6,BERGEN,4410,RIVER EDGE BORO,211.3,8,142764,58,148.1,32,145729,56
A. K-6,BERGEN,4620,SADDLE RIVER BORO,57.5,55,148106,59,68.7,50,125000,52
A. K-6,BURLINGTON,200,BASS RIVER TWP,132,34,106274,41,128,37,106274,37
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,144.8,33,108386,45,160,26,104178,34
A. K-6,BURLINGTON,2960,MANSFIELD TWP,185,14,101540,32,174.8,16,99071,26
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,157.6,27,115545,50,158.9,27,113185,44
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,102.5,42,87750,17,132,35,98328,25
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,179,18,21907,2,127.6,38,47169,4
A. K-6,CAMDEN,5560,WATERFORD TWP,195.1,12,112765,49,166.2,22,110223,42
A. K-6,CAPE MAY,710,CAPE MAY CITY,82.8,51,92820,21,40.6,55,77013,9
A. K-6,CAPE MAY,2840,LOWER TWP,263,2,126996,55,257.7,6,119221,47
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,37.3,59,35100,5,57.1,53,78500,11
A. K-6,ESSEX,1400,ESSEX FELLS BORO,102,44,105366,39,105,43,106167,36
A. K-6,ESSEX,1465,FAIRFIELD TWP,171.3,21,119848,52,164.8,23,122843,51
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,168.8,25,125000,54,169,20,125000,52
A. K-6,ESSEX,4530,ROSELAND BORO,173.2,20,116150,51,150,30,115000,45
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,184.3,15,87938,18,171.6,18,88434,16
A. K-6,GLOUCESTER,1330,ELK TWP,197,11,90192,19,370,2,95721,20
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,197.1,10,94860,25,200.4,9,97137,23
A. K-6,GLOUCESTER,2070,HARRISON TWP,212,7,106636,43,205.3,8,108769,41
A. K-6,GLOUCESTER,2990,MANTUA TWP,200.6,9,101605,34,188.6,10,103936,32
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,145,31,28570,3,142.2,34,33142,3
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,166.4,26,85591,14,119.3,40,85591,15
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,245.7,3,98331,28,287,4,104123,33
A. K-6,GLOUCESTER,5590,WENONAH BORO,245,4,101558,33,246,7,103590,31
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,101.5,45,28570,3,182.6,14,28570,1
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,154.3,28,80500,11,158.6,28,82000,12
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,102.5,42,110058,47,118.5,41,112259,43
A. K-6,HUNTERDON,2590,LEBANON BORO,89,49,130183,57,79,49,48000,5
A. K-6,HUNTERDON,5050,STOCKTON BORO,55,56,104639,37,,,,
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,122,37,108250,44,58,52,127269,54
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,120.7,38,47500,6,296.4,3,115000,45
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,52.8,57,86000,15,102.8,44,31690,2
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,45,58,86994,16,24.9,56,62645,7
A. K-6,MORRIS,3240,MINE HILL TWP,299.3,1,82387,12,413.5,1,106927,38
A. K-6,OCEAN,230,BEACH HAVEN BORO,67,54,122675,53,50,54,82936,14
A. K-6,OCEAN,320,BERKELEY TWP,183.6,16,128000,56,186.8,11,120000,48
