CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
,,STATE AVERAGE - ALL OPERATING TYPES,,,17322,,,,18047,,,
,,STATE MEDIAN - ALL OPERATING TYPES,,,16597,,,,17286,,,
ATLANTIC,10,ABSECON CITY,12658555,938.3,13491,8,13690893,938.6,14587,14,"K. K-12|K-8,751+",KK-12K-8751plus
ATLANTIC,110,ATLANTIC CITY,170848727,6702.6,25490,105,174016659,6807.8,25561,106,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,120,ATLANTIC CO VOCATIONAL,14723575,830.9,17721,7,16513149,1022,16157,4,Q. COUNTY VOC,QCOUNTYVOC
ATLANTIC,125,ATLANTIC CO SPECIAL SERV,23089951,456.9,50536,3,23114419,438.4,52725,4,P. CSSD,PCSSD
ATLANTIC,570,BRIGANTINE CITY,21568341,1020.7,21131,88,20546774,1024.7,20052,84,"K. K-12|K-8,751+",KK-12K-8751plus
ATLANTIC,590,BUENA REGIONAL,43119522,2496,17275,49,43874685,2420.8,18124,52,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
ATLANTIC,1300,EGG HARBOR CITY,10603572,473.3,22402,65,10861134,498.9,21770,63,"D. K-8|K-8,401-750",DK-8K-8401-750
ATLANTIC,1310,EGG HARBOR TWP,122370179,8020.8,15257,27,126567673,7825.6,16173,29,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,1410,ESTELL MANOR CITY,4732288,283.9,16670,25,4729005,281.3,16810,20,"I. K-12|K-8,0-400",IK-12K-80-400
ATLANTIC,1540,FOLSOM BORO,7682221,505.1,15211,12,7546111,522.5,14443,5,"J. K-12|K-8,401-750",JK-12K-8401-750
ATLANTIC,1690,GALLOWAY TWP,56607329,3509.3,16130,51,58019176,3467.3,16733,53,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,1790,GREATER EGG HARBOR REG,71760820,3930.8,18256,16,72368577,3783.5,19127,18,"G. G9-12|7-12,9-12",GG9-127-129-12
ATLANTIC,1940,HAMILTON TWP,47770222,3248.2,14707,22,49980478,3183.2,15701,31,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,1960,HAMMONTON TOWN,46189080,3552.2,13003,1,48900052,3571.6,13691,1,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,2680,LINWOOD CITY,14976546,905.8,16533,60,15290071,881.2,17352,59,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,2910,MAINLAND REGIONAL,29015157,1547.6,18749,22,30066903,1498.2,20068,27,"G. G9-12|7-12,9-12",GG9-127-129-12
ATLANTIC,3020,MARGATE CITY,13534683,647.2,20912,63,14957715,618.6,24179,65,"J. K-12|K-8,401-750",JK-12K-8401-750
