CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
1,10,9607069,6420228,6211977,175526,32725,1139206,965035,1066668,892727,928322,508888,0,45374,0,838,ABSECON CITY,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,110,135517800,82914660,78467207,2892746,1554707,19226248,17597321,11377822,8639800,19216106,9343719,1000000,1425976,482400,6951,ATLANTIC CITY,ATLANTIC,G. K-12 / 3501 +,3,A,,1,ATLANTIC
1,120,14603825,7181133,6538357,533281,109495,1542242,1437222,1571220,1102644,3622305,1505247,0,326903,101399,1070,ATLANTIC CO VOCATIONAL,ATLANTIC,J. VOC,8,,,1,ATLANTIC
1,125,20316042,11859738,11425554,143704,290480,3938235,3669503,2432733,2089325,1946209,959654,139126,0,111948,440,ATLANTIC CO SPECIAL SERV,ATLANTIC,I. CSSD,7,,,1,ATLANTIC
1,570,13468937,8394843,8066697,256886,71260,1828659,1639359,1328483,1088819,1734347,915247,0,178691,43410,764,BRIGANTINE CITY,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,590,30347143,18311614,17708514,407100,196000,4674792,3775392,3387302,2731802,3218489,1657889,0,739514,92400,2027,BUENA REGIONAL,ATLANTIC,F. K-12 / 1801 - 3500,3,A,,1,ATLANTIC
1,1300,7632696,4519692,4366492,136700,16500,1343553,1217719,859768,702668,813257,394057,0,96425,10000,507,EGG HARBOR CITY,ATLANTIC,C. K-8 / 401 - 750,2,A,,1,ATLANTIC
1,1310,98309335,58898649,56935241,1812644,150764,16403382,14983180,8357571,6683790,12322983,7129873,0,1287842,279458,7762,EGG HARBOR TWP,ATLANTIC,G. K-12 / 3501 +,3,CD,,1,ATLANTIC
1,1410,2673696,1409748,1347249,52499,10000,479255,395226,323482,261682,438921,216487,6000,15786,0,191,ESTELL MANOR CITY,ATLANTIC,B. K-8 / 0 - 400,2,DE,,1,ATLANTIC
1,1540,5400041,3100287,2594830,378328,127129,915919,648869,654666,398128,665208,257208,0,61074,118285,416,FOLSOM BORO,ATLANTIC,C. K-8 / 401 - 750,2,CD,,1,ATLANTIC
1,1690,49034646,32314372,30898882,1150929,264561,7171210,6373145,4571169,3894014,4800515,2471897,19500,118703,72000,3386,GALLOWAY TWP,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,1790,51850090,28072090,26449343,1436280,186467,5520009,5306789,5847036,4830744,9245829,5046184,0,3139643,486234,3500,GREATER EGG HARBOR REG,ATLANTIC,H. 7-12 / 9-12,5,CD,,1,ATLANTIC
1,1940,36880825,22323001,21133289,873452,316260,6026384,5586192,3699097,2913187,4605249,2240414,0,197878,149195,3178,HAMILTON TWP,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,1960,38512260,23919478,21941886,1822872,154720,5721679,4873073,4026834,3129041,3907199,1645979,0,653293,65000,3559,HAMMONTON TOWN,ATLANTIC,G. K-12 / 3501 +,3,B,,1,ATLANTIC
