CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
80,6612,2624952,1474618,1321906,50712,102000,315978,0,735908,553069,98448,0,0,0,0,189,Galloway Community CS,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,7410,5449653,2511889,2356629,114700,40560,696090,549604,896859,632569,1344815,0,0,0,0,357,chARTer~TECH HIGH SCHOOL,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,7420,5337770,2815796,2531245,223451,61100,582375,394685,1444721,995162,494878,0,0,0,39700,328,Oceanside CS,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,6013,8167205,4440490,3643910,596580,200000,1107737,707357,1615639,1159749,1003339,0,0,0,60000,660,Bergen Arts and Sciences CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,6430,3911241,2267908,2084308,106600,77000,739826,351326,601701,339701,301806,0,0,0,60000,198,Englewood on the Palisades CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,7890,4559245,2646840,2569740,55100,22000,338379,202813,567456,514856,1006570,0,0,0,4000,306,Teaneck Community CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,6026,1433534,793077,667877,72200,53000,203854,141654,292829,231329,143774,0,0,0,0,144,Riverbank Charter School of Excellence,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6044,1364589,740330,648720,75500,16110,137939,53664,312320,243600,174000,0,0,0,15000,156,Renaissance Regional Leadership CS,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6076,1465829,809447,583540,160000,65907,134792,83842,331821,201221,182770,0,0,0,27000,120,Benjamin Banneker Prep CS,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6024,3046613,1545012,1345012,135000,65000,295400,193400,612889,267889,593313,0,0,0,0,240,Camden's Pride Charter School,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6027,6279270,3346802,2686302,494200,166300,620751,279651,1172717,724817,1139000,0,0,0,60000,480,Institute of Excellence Charter School,CAMDEN,K. CHARTER,C,,,1,CAMDEN
