GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31,ABBOTT
A. K-6,,,1. State average - Operating Type K-6,12409,,12918,,13649,,,,,
A. K-6,,,2. State median - Operating Type K-6,13073,,13639,,14201,,,,,
A. K-6,,,5. State average - All operating types,13733,,14166,,14781,,,,,
A. K-6,,,6. State median - All operating types,13198,,13714,,14080,,,,,
A. K-6,BERGEN,1270,EDGEWATER BORO,10098,5,9801,2,11280,6,664,765,848,
A. K-6,BERGEN,3870,ORADELL BORO,12045,18,12422,18,12721,12,788,784,790,
A. K-6,BERGEN,4410,RIVER EDGE BORO,11715,16,12042,14,12915,15,1169,1196,1168,
A. K-6,BERGEN,4620,SADDLE RIVER BORO,21837,58,21839,55,25697,59,229,207,182,
A. K-6,BURLINGTON,200,BASS RIVER TWP,14573,43,16442,50,15927,41,133,123,136,
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,11291,13,10705,8,10554,2,583,639,707,
A. K-6,BURLINGTON,2960,MANSFIELD TWP,11090,11,11880,12,13061,16,743,714,708,
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,15404,48,15418,46,16171,43,1233,1264,1320,
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,13519,34,15405,45,16529,47,288,262,274,
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,11623,15,12393,17,13705,23,178,186,179,
A. K-6,CAMDEN,5560,WATERFORD TWP,12869,28,11982,13,14020,26,869,908,902,
A. K-6,CAPE MAY,710,CAPE MAY CITY,21422,56,23739,57,21342,57,144,134,153,
A. K-6,CAPE MAY,2840,LOWER TWP,12783,27,13521,28,13611,19,1828,1811,1807,
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,15918,49,15221,42,15605,38,59,66,75,
A. K-6,ESSEX,1400,ESSEX FELLS BORO,18065,54,18560,51,17783,53,203,210,240,
A. K-6,ESSEX,1465,FAIRFIELD TWP,13665,35,14039,34,14369,33,690,691,679,
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,14446,40,14254,35,15836,40,675,716,691,
A. K-6,ESSEX,4530,ROSELAND BORO,13070,29,13707,31,14073,27,494,489,486,
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,9393,2,9307,1,9991,1,1109,1192,1297,
A. K-6,GLOUCESTER,1330,ELK TWP,10905,10,12139,15,12836,14,395,365,380,
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,10669,8,11243,9,12229,9,1388,1406,1367,
