GROUP,CONAME,DIST,DISTNAME,DE120,DE220,DE320,DE420
A. K-6,BERGEN,1270,EDGEWATER BORO,2933790,-524875,2408915,329629
A. K-6,BERGEN,3870,ORADELL BORO,881214,86208,967422,350856
A. K-6,BERGEN,4410,RIVER EDGE BORO,1275246,350133,1625379,272009
A. K-6,BERGEN,4620,SADDLE RIVER BORO,1789422,-177826,1611596,-118729
A. K-6,BURLINGTON,200,BASS RIVER TWP,619273,20288,639561,-269252
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,792637,-76027,716610,1118
A. K-6,BURLINGTON,2960,MANSFIELD TWP,656840,130186,867623,98962
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,27505360,481906,27987266,-332044
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,845313,360403,1205716,218177
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,438316,89459,517029,60067
A. K-6,CAMDEN,5560,WATERFORD TWP,2524266,851801,3376067,1069302
A. K-6,CAPE MAY,710,CAPE MAY CITY,1584428,20391,1604819,-278362
A. K-6,CAPE MAY,2840,LOWER TWP,2808186,169733,2977919,-769126
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,634907,-12254,622653,-5023
A. K-6,ESSEX,1400,ESSEX FELLS BORO,856684,222680,1079364,163078
A. K-6,ESSEX,1465,FAIRFIELD TWP,1324807,-171132,1153675,-267052
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,2399501,482332,2881833,283639
A. K-6,ESSEX,4530,ROSELAND BORO,689964,67669,757633,118106
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,1688295,792354,2480649,833271
A. K-6,GLOUCESTER,1330,ELK TWP,1182766,90634,1273400,-131212
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,3383565,658216,4041780,-1090026
A. K-6,GLOUCESTER,2070,HARRISON TWP,1393994,268552,1662546,-13671
A. K-6,GLOUCESTER,2990,MANTUA TWP,1288431,193514,1481945,351554
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,681204,399498,1080702,194329
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,660163,429959,1090122,208459
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,2009750,914429,2924179,1165931
A. K-6,GLOUCESTER,5590,WENONAH BORO,122555,104129,226684,-35306
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,757617,39985,797602,63138
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,268795,303505,572300,143277
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,600529,256421,856950,426915
