GROUP,CONAME,DIST,DISTNAME,EX121,EX221
A. K-6,BERGEN,1270,EDGEWATER BORO,362190,481075
A. K-6,BERGEN,3870,ORADELL BORO,135316,160000
A. K-6,BERGEN,4410,RIVER EDGE BORO,736709,349516
A. K-6,BERGEN,4620,SADDLE RIVER BORO,228325,154767
A. K-6,BURLINGTON,200,BASS RIVER TWP,49350,15689
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,94664,0
A. K-6,BURLINGTON,2960,MANSFIELD TWP,0,436126
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,0,0
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,396937,139565
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,160721,0
A. K-6,CAMDEN,5560,WATERFORD TWP,1222633,1223818
A. K-6,CAPE MAY,710,CAPE MAY CITY,0,0
A. K-6,CAPE MAY,2840,LOWER TWP,407534,183633
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,39470,50770
A. K-6,ESSEX,1400,ESSEX FELLS BORO,260206,259921
A. K-6,ESSEX,1465,FAIRFIELD TWP,228317,120803
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,350000,250000
A. K-6,ESSEX,4530,ROSELAND BORO,0,0
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,1022690,1580850
A. K-6,GLOUCESTER,1330,ELK TWP,159829,0
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,198372,0
A. K-6,GLOUCESTER,2070,HARRISON TWP,320549,311881
A. K-6,GLOUCESTER,2990,MANTUA TWP,213334,306870
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,274739,291421
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,372583,457635
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,962995,1185546
A. K-6,GLOUCESTER,5590,WENONAH BORO,0,0
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,143644,278215
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,236417,199557
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,0,0
A. K-6,HUNTERDON,2590,LEBANON BORO,117460,0
A. K-6,HUNTERDON,5050,STOCKTON BORO,0,0
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,0,8659
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,312670,326253
