school,level,sq_ft,notes
Bayview Elementary,Elementary,,K-5
Leonardo Elementary,Elementary,,K-5
Middletown Village Elementary,Elementary,,K-5
Nut Swamp Elementary,Elementary,,K-5
Ocean Avenue Elementary,Elementary,,K-5
River Plaza Elementary,Elementary,,K-5
Thompson School,Elementary,,K-5 portion of K-8
Thorne School,Elementary,,K-5 portion of K-8
Bayshore Middle,Middle,,6-8
Thompson School,Middle,,6-8 portion of K-8
Thorne School,Middle,,6-8 portion of K-8
High School North,High,,9-12
High School South,High,,9-12
